,XLY 3/20/15 C71,,XLY 4/17/15 C70,,XLY 5/15/15 C76,,XLY 6/19/15 C75,,XLY 7/17/15 C76,,XLY 8/21/15 C76,,XLY 9/18/15 C77,,XLY 10/16/15 C79,,XLY 11/20/15 C73,,XLY 12/18/15 C74,,XLY 1/15/16 C81,,XLY 2/19/16 C81,,XLY 3/18/16 C76,,XLY 4/15/16 C74,,XLY 5/20/16 C76,,XLY 6/17/16 C79,,XLY 7/15/16 C80,,XLY 8/19/16 C79,,XLY 9/16/16 C78,,XLY 10/21/16 C81,,XLY 11/18/16 C80,,XLY 12/16/16 C79,,XLY 1/20/17 C77,,XLY 2/17/17 C81,,XLY 3/17/17 C81,,XLY 4/21/17 C84,,XLY 5/19/17 C87,,XLY 6/16/17 C87,,XLY 7/21/17 C90,,XLY 8/18/17 C91,,XLY 9/15/17 C89,,XLY 10/20/17 C91,,XLY 11/17/17 C90,,XLY 12/15/17 C90,,XLY 1/19/18 C92,,XLY 2/16/18 C96,,XLY 3/16/18 C100,,XLY 4/20/18 C106,,XLY 5/18/18 C102,,XLY 6/15/18 C98,,XLY 7/20/18 C103,,XLY 8/17/18 C106,,XLY 9/21/18 C109,,XLY 10/19/18 C110,,XLY 11/16/18 C117,,XLY 12/21/18 C116,,XLY 1/18/19 C107,,XLY 2/15/19 C110,,XLY 3/15/19 C99,,XLY 4/18/19 C107,,XLY 5/17/19 C111,,XLY 6/21/19 C115,,XLY 7/19/19 C118,,XLY 8/16/19 C110,,XLY 9/20/19 C120,,XLY 10/18/19 C119,,XLY 11/15/19 C119,,XLY 12/20/19 C119,,XLY 1/17/20 C121,,XLY 2/21/20 C121,,XLY 3/20/20 C126,,XLY 4/17/20 C126,,XLY 5/15/20 C119,,XLY 6/19/20 C93,,XLY 7/17/20 C112,,XLY 8/21/20 C125,,XLY 9/18/20 C129,,XLY 10/16/20 C136,
,2/25/2015,5.33,,,5/8/2015,0.94,5/26/2015,1.98,,,,,8/31/2015,0.66,,,,,,,12/22/2015,0.3,,,3/7/2016,1.21,,,,,6/1/2016,0.9,7/15/2016,0.98,,,,,9/26/2016,0.28,11/10/2016,0.6,11/22/2016,3.8,,,,,3/2/2017,6.35,,,5/18/2017,1.55,,,,,,,,,10/9/2017,0.99,,,12/7/2017,6.88,12/22/2017,7.1,,,2/22/2018,5.4,4/10/2018,0.12,5/14/2018,3.28,,,,,7/30/2018,5.35,8/27/2018,7.04,,,11/5/2018,0.02,11/28/2018,0.04,1/2/2019,0.15,2/14/2019,0.21,,,,,,,6/3/2019,0.2,7/11/2019,4.75,,,8/16/2019,0.93,10/4/2019,1.6,11/11/2019,2.14,12/5/2019,2.49,12/23/2019,4.08,,,2/24/2020,3.5,,,,,,,,,,,,,,
,2/27/2015,5.03,,,5/11/2015,0.64,5/27/2015,2.39,,,,,9/1/2015,0.25,,,,,,,12/23/2015,0.33,,,3/8/2016,0.9,,,,,6/2/2016,1.07,,,,,,,9/28/2016,0.39,11/11/2016,0.56,11/23/2016,3.95,,,,,3/10/2017,5.74,,,5/19/2017,2.51,,,,,,,,,10/10/2017,0.66,,,12/8/2017,7.15,12/26/2017,7.39,,,2/27/2018,6.4,4/11/2018,0.14,5/15/2018,2.24,,,,,8/2/2018,5.65,8/31/2018,8.21,,,11/7/2018,0.02,11/29/2018,0.09,1/3/2019,0.1,2/15/2019,0.04,,,,,,,6/4/2019,0.56,7/12/2019,6.12,,,8/19/2019,0.89,10/7/2019,1.31,11/12/2019,2.06,12/6/2019,3.25,12/24/2019,4.1,,,2/25/2020,1.67,,,,,,,,,,,,,,
,3/2/2015,5.75,,,5/12/2015,0.58,5/29/2015,2.13,,,,,9/2/2015,0.4,,,,,,,12/24/2015,0.29,,,3/9/2016,0.77,,,,,6/3/2016,0.68,,,,,,,9/29/2016,0.37,11/14/2016,0.63,11/28/2016,3.5,,,,,3/14/2017,6.07,,,,,,,,,,,,,10/11/2017,0.73,,,12/12/2017,7.5,12/29/2017,7.18,,,2/28/2018,5.38,4/12/2018,0.06,5/16/2018,3.47,,,,,8/3/2018,6.1,9/4/2018,8.25,,,11/9/2018,0.43,11/30/2018,0.1,1/4/2019,0.19,,,,,,,,,6/5/2019,0.76,7/15/2019,6.6,,,8/20/2019,1.2,10/8/2019,1.31,11/13/2019,1.51,12/9/2019,3.34,12/26/2019,5.42,,,2/26/2020,1.35,,,,,,,,,,,,,,
,3/3/2015,5.7,,,5/13/2015,0.23,6/1/2015,2.08,,,,,9/3/2015,0.5,,,,,,,12/28/2015,0.21,,,3/10/2016,0.82,,,,,6/6/2016,0.85,,,,,,,9/30/2016,0.5,11/15/2016,0.41,11/29/2016,3.65,,,,,3/16/2017,6.5,,,,,,,,,,,,,10/12/2017,0.36,,,12/14/2017,7.85,1/3/2018,8.61,,,3/2/2018,3,4/16/2018,0.02,5/17/2018,3.65,,,,,8/7/2018,7.3,9/5/2018,7.35,,,,,12/3/2018,0.18,1/7/2019,0.52,,,,,,,,,6/6/2019,1.07,7/16/2019,6.4,,,8/21/2019,1.87,10/9/2019,1.15,11/14/2019,3.23,12/10/2019,2.93,12/27/2019,5.63,,,2/27/2020,0.76,,,,,,,,,,,,,,
,3/4/2015,5.34,,,5/14/2015,0.24,6/2/2015,2.02,,,,,9/4/2015,0.2,,,,,,,12/29/2015,0.39,,,3/11/2016,1.48,,,,,6/7/2016,0.96,,,,,,,10/3/2016,0.36,11/16/2016,0.59,11/30/2016,3.1,,,,,,,,,,,,,,,,,,,10/13/2017,0.52,,,12/15/2017,8.15,1/5/2018,9.55,,,3/7/2018,4.35,4/17/2018,0.03,5/18/2018,2.9,,,,,8/8/2018,7.46,9/6/2018,6.85,,,,,,,1/8/2019,0.57,,,,,,,,,6/7/2019,1.99,7/17/2019,5.3,,,8/22/2019,2.07,10/10/2019,1.35,11/15/2019,2.29,12/11/2019,3.27,12/30/2019,4.88,,,2/28/2020,0.78,,,,,,,,,,,,,,
,3/5/2015,5.4,,,5/15/2015,0.55,6/3/2015,2.61,,,,,9/8/2015,0.32,,,,,,,12/30/2015,0.22,,,3/14/2016,1.74,,,,,6/8/2016,0.74,,,,,,,10/4/2016,0.35,11/17/2016,1.4,12/1/2016,3.05,,,,,,,,,,,,,,,,,,,10/16/2017,0.44,,,,,1/9/2018,10.25,,,3/9/2018,6,4/18/2018,0.07,,,,,,,8/14/2018,7.42,9/7/2018,7,,,,,,,1/9/2019,0.54,,,,,,,,,6/10/2019,2.51,7/18/2019,4.96,,,8/23/2019,0.88,10/11/2019,2.2,,,12/12/2019,4.5,1/3/2020,5.15,,,3/2/2020,0.49,,,,,,,,,,,,,,
,3/6/2015,5.15,,,,,6/4/2015,2.3,,,,,9/9/2015,0.29,,,,,,,12/31/2015,0.15,,,3/15/2016,1.54,,,,,6/9/2016,0.7,,,,,,,10/5/2016,0.44,11/18/2016,1.3,12/2/2016,2.64,,,,,,,,,,,,,,,,,,,10/17/2017,0.62,,,,,1/11/2018,10.5,,,3/12/2018,7,4/19/2018,0.01,,,,,,,8/17/2018,6.3,9/10/2018,7.55,,,,,,,1/10/2019,0.37,,,,,,,,,6/11/2019,2.83,7/19/2019,4.16,,,8/26/2019,1.12,10/14/2019,1.96,,,12/13/2019,4.11,1/7/2020,5.1,,,3/3/2020,0.56,,,,,,,,,,,,,,
,3/9/2015,4.9,,,,,6/8/2015,1.51,,,,,9/11/2015,0.29,,,,,,,1/4/2016,0.05,,,3/16/2016,2.22,,,,,6/10/2016,0.24,,,,,,,10/6/2016,0.39,,,12/5/2016,3.35,,,,,,,,,,,,,,,,,,,10/18/2017,0.55,,,,,1/12/2018,13,,,3/13/2018,7.2,,,,,,,,,,,9/11/2018,7.9,,,,,,,1/11/2019,0.24,,,,,,,,,6/12/2019,2.66,,,,,8/27/2019,0.99,10/15/2019,2.86,,,12/16/2019,4.74,1/8/2020,5.85,,,3/4/2020,0.48,,,,,,,,,,,,,,
,3/10/2015,4.1,,,,,6/9/2015,1.33,,,,,9/14/2015,0.15,,,,,,,1/6/2016,0.02,,,3/17/2016,2.42,,,,,6/13/2016,0.17,,,,,,,10/7/2016,0.27,,,12/6/2016,3.45,,,,,,,,,,,,,,,,,,,10/19/2017,0.1,,,,,1/16/2018,13.6,,,3/14/2018,5.72,,,,,,,,,,,9/17/2018,7.55,,,,,,,1/14/2019,0.15,,,,,,,,,6/13/2019,3.2,,,,,8/28/2019,1.37,10/16/2019,3.06,,,12/17/2019,5.32,1/9/2020,6.09,,,3/5/2020,0.39,,,,,,,,,,,,,,
,3/11/2015,3.4,,,,,6/10/2015,1.98,,,,,9/15/2015,0.22,,,,,,,1/7/2016,0.02,,,,,,,,,6/14/2016,0.05,,,,,,,10/10/2016,0.21,,,12/7/2016,4.05,,,,,,,,,,,,,,,,,,,10/20/2017,0.32,,,,,1/17/2018,12.4,,,3/15/2018,5.54,,,,,,,,,,,9/21/2018,7.88,,,,,,,1/15/2019,0.11,,,,,,,,,6/14/2019,3.65,,,,,8/29/2019,2.08,10/17/2019,3.47,,,12/18/2019,5.61,1/10/2020,5.5,,,3/6/2020,0.2,,,,,,,,,,,,,,
,3/12/2015,4.65,,,,,6/11/2015,1.92,,,,,9/16/2015,0.5,,,,,,,1/8/2016,0.01,,,,,,,,,6/15/2016,0.08,,,,,,,10/11/2016,0.06,,,12/8/2016,5.17,,,,,,,,,,,,,,,,,,,,,,,,,1/18/2018,12.82,,,3/16/2018,5.61,,,,,,,,,,,,,,,,,,,1/16/2019,0.12,,,,,,,,,6/17/2019,3.55,,,,,8/30/2019,1.76,10/18/2019,3.29,,,12/19/2019,5.88,1/14/2020,6.1,,,3/9/2020,0.07,,,,,,,,,,,,,,
,3/13/2015,4,,,,,6/15/2015,1.46,,,,,9/17/2015,0.22,,,,,,,1/11/2016,0.01,,,,,,,,,6/16/2016,0.03,,,,,,,10/12/2016,0.1,,,12/12/2016,4.51,,,,,,,,,,,,,,,,,,,,,,,,,1/19/2018,13.2,,,,,,,,,,,,,,,,,,,,,,,1/17/2019,0.03,,,,,,,,,6/18/2019,4.35,,,,,9/3/2019,1.54,,,,,,,1/15/2020,5.19,,,3/10/2020,0.09,,,,,,,,,,,,,,
,3/16/2015,4.7,,,,,6/16/2015,1.7,,,,,9/18/2015,0.02,,,,,,,1/14/2016,0.01,,,,,,,,,,,,,,,,,10/13/2016,0.05,,,12/13/2016,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/18/2019,0.01,,,,,,,,,6/19/2019,4.71,,,,,9/4/2019,1.74,,,,,,,1/16/2020,6.4,,,3/11/2020,0.1,,,,,,,,,,,,,,
,3/17/2015,4.8,,,,,6/17/2015,1.85,,,,,,,,,,,,,1/15/2016,0.01,,,,,,,,,,,,,,,,,10/14/2016,0.03,,,12/15/2016,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/20/2019,5.5,,,,,9/5/2019,3.1,,,,,,,,,,,3/17/2020,0.24,,,,,,,,,,,,,,
,3/19/2015,5.1,,,,,6/18/2015,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/17/2016,0.01,,,12/16/2016,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/21/2019,4.85,,,,,9/6/2019,3.21,,,,,,,,,,,3/19/2020,0.15,,,,,,,,,,,,,,
,3/20/2015,5.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/18/2016,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/9/2019,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/19/2016,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/10/2019,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/20/2016,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/11/2019,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/12/2019,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/13/2019,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/16/2019,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/17/2019,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2019,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/19/2019,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/20/2019,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,
