,XLK 3/20/15 C41,,XLK 4/17/15 C40,,XLK 5/15/15 C43,,XLK 6/19/15 C41,,XLK 7/17/15 C43,,XLK 8/21/15 C43,,XLK 9/18/15 C41,,XLK 10/16/15 C42,,XLK 11/20/15 C38,,XLK 12/18/15 C39,,XLK 1/15/16 C44,,XLK 2/19/16 C44,,XLK 3/18/16 C42,,XLK 4/15/16 C41,,XLK 5/20/16 C42,,XLK 6/17/16 C44,,XLK 7/15/16 C42,,XLK 8/19/16 C44,,XLK 9/16/16 C43,,XLK 10/21/16 C46,,XLK 11/18/16 C47,,XLK 12/16/16 C47,,XLK 1/20/17 C47,,XLK 2/17/17 C46,,XLK 3/17/17 C48,,XLK 4/21/17 C50,,XLK 5/19/17 C53,,XLK 6/16/17 C53,,XLK 7/21/17 C54,,XLK 8/18/17 C56,,XLK 9/15/17 C54,,XLK 10/20/17 C57,,XLK 11/17/17 C58,,XLK 12/15/17 C59,,XLK 1/19/18 C62,,XLK 2/16/18 C63,,XLK 3/16/18 C64,,XLK 4/20/18 C68,,XLK 5/18/18 C67,,XLK 6/15/18 C63,,XLK 7/20/18 C66,,XLK 8/17/18 C71,,XLK 9/21/18 C70,,XLK 10/19/18 C71,,XLK 11/16/18 C75,,XLK 12/21/18 C75,,XLK 1/18/19 C70,,XLK 2/15/19 C69,,XLK 3/15/19 C62,,XLK 4/18/19 C66,,XLK 5/17/19 C71,,XLK 6/21/19 C75,,XLK 7/19/19 C78,,XLK 8/16/19 C70,,XLK 9/20/19 C79,,XLK 10/18/19 C80,,XLK 11/15/19 C78,,XLK 12/20/19 C79,,XLK 1/17/20 C84,,XLK 2/21/20 C86,,XLK 3/20/20 C93,,XLK 4/17/20 C96,,XLK 5/15/20 C93,,XLK 6/19/20 C76,,XLK 7/17/20 C88,,XLK 8/21/20 C97,,XLK 9/18/20 C104,,XLK 10/16/20 C113,
,2/10/2015,1.12,,,5/5/2015,0.22,5/19/2015,2.51,6/26/2015,0.24,7/30/2015,0.39,8/12/2015,1.28,10/6/2015,0.08,,,,,12/9/2015,0.71,,,2/11/2016,0.17,,,5/12/2016,0.62,5/10/2016,0.25,,,7/29/2016,2.55,9/6/2016,4.46,,,11/2/2016,0.65,11/14/2016,0.45,12/8/2016,1.6,,,2/21/2017,4.41,,,4/26/2017,1.27,5/11/2017,2.63,,,8/16/2017,2.25,8/30/2017,4.2,9/8/2017,1.77,10/25/2017,2.93,11/8/2017,5.2,12/8/2017,2.15,2/6/2018,2.9,2/8/2018,1.2,3/22/2018,0.81,4/26/2018,0.95,5/11/2018,7.05,6/25/2018,3.94,7/10/2018,2.06,8/8/2018,4.15,9/17/2018,3.45,10/10/2018,0.25,11/6/2018,0.22,12/11/2018,0.38,2/6/2019,0.5,2/14/2019,7.38,3/27/2019,7.23,4/10/2019,5.9,5/8/2019,3.38,6/11/2019,1.25,,,8/8/2019,2.41,9/9/2019,2.5,11/15/2019,9.15,12/12/2019,10.15,,,2/13/2020,15.58,2/10/2020,8.65,4/1/2020,0.03,4/30/2020,1.78,,,,,,,8/10/2020,10.6,10/6/2020,3.9
,2/12/2015,1.7,,,5/6/2015,0.12,5/20/2015,2.56,6/29/2015,0.12,7/31/2015,0.28,8/13/2015,1.8,10/7/2015,0.05,,,,,12/10/2015,0.76,,,2/12/2016,0.18,,,5/13/2016,0.48,5/11/2016,0.19,,,8/1/2016,2.5,9/7/2016,4.65,,,11/3/2016,0.47,11/15/2016,0.7,12/9/2016,1.85,,,2/22/2017,4.52,,,4/27/2017,1.5,5/12/2017,2.74,,,8/17/2017,1.22,9/1/2017,4.89,9/11/2017,2.17,10/26/2017,3.34,11/9/2017,4.55,12/11/2017,2.42,2/8/2018,1.11,2/9/2018,2.01,3/23/2018,0.45,4/27/2018,0.68,5/17/2018,6.7,6/27/2018,3.55,7/11/2018,1.83,8/9/2018,4.25,9/18/2018,4.02,10/11/2018,0.16,11/7/2018,0.37,12/12/2018,0.49,2/7/2019,0.17,2/21/2019,7.85,3/28/2019,7.62,4/11/2019,5.83,5/9/2019,2.87,6/12/2019,1.12,,,8/9/2019,2.15,9/10/2019,1.97,,,12/16/2019,11.35,,,2/21/2020,13.44,2/11/2020,8.48,4/2/2020,0.01,5/1/2020,0.87,,,,,,,8/12/2020,10.45,10/7/2020,5.42
,2/13/2015,1.9,,,5/7/2015,0.16,5/21/2015,2.7,6/30/2015,0.1,8/3/2015,0.18,8/14/2015,1.64,10/9/2015,0.11,,,,,12/11/2015,0.48,,,2/16/2016,0.24,,,5/17/2016,0.5,5/12/2016,0.13,,,8/2/2016,2.18,9/9/2016,3.7,,,11/4/2016,0.49,11/16/2016,0.86,12/12/2016,1.74,,,2/23/2017,4.55,,,4/28/2017,1.56,5/15/2017,3,,,8/18/2017,0.93,9/5/2017,4.37,9/12/2017,2.17,10/27/2017,4.78,11/10/2017,4.65,12/12/2017,2.58,2/9/2018,1.54,2/12/2018,2.13,3/26/2018,0.9,4/30/2018,0.5,5/21/2018,6.65,6/28/2018,3.65,7/12/2018,2.53,8/10/2018,3.62,9/20/2018,4.33,10/12/2018,0.37,11/8/2018,0.35,12/13/2018,0.48,2/8/2019,0.16,3/4/2019,9.02,4/5/2019,10.01,4/12/2019,6.1,5/10/2019,2.75,6/13/2019,1.11,,,8/12/2019,1.74,9/11/2019,2.56,,,12/18/2019,11.2,,,,,2/12/2020,9.3,4/3/2020,0.02,5/4/2020,0.9,,,,,,,8/17/2020,11.74,10/8/2020,6.05
,2/17/2015,1.87,,,5/8/2015,0.29,5/22/2015,2.7,7/1/2015,0.11,8/4/2015,0.15,8/17/2015,1.64,10/12/2015,0.09,,,,,12/14/2015,0.44,,,2/17/2016,0.5,,,5/18/2016,0.48,5/13/2016,0.1,,,8/3/2016,2.31,9/12/2016,3.92,,,11/7/2016,0.76,11/17/2016,1,12/13/2016,2.22,,,2/27/2017,4.59,,,5/1/2017,1.93,5/16/2017,3.17,,,,,9/7/2017,4.56,9/13/2017,2.16,10/30/2017,4.81,11/13/2017,4.72,12/13/2017,2.4,2/12/2018,2.11,2/13/2018,2.15,3/27/2018,0.36,5/1/2018,0.73,5/22/2018,6.78,6/29/2018,4.3,7/13/2018,2.43,8/13/2018,3.7,9/21/2018,4.1,10/15/2018,0.19,11/9/2018,0.19,12/14/2018,0.25,2/11/2019,0.13,3/6/2019,8.5,4/11/2019,10.23,4/17/2019,6.85,5/13/2019,1.36,6/14/2019,0.9,,,8/13/2019,2.47,9/12/2019,2.8,,,12/19/2019,11.6,,,,,2/13/2020,9.15,4/7/2020,0.05,5/5/2020,1.3,,,,,,,8/18/2020,11.95,10/9/2020,7.17
,2/18/2015,1.93,,,5/11/2015,0.19,5/26/2015,2.04,7/2/2015,0.09,8/5/2015,0.28,8/19/2015,1.5,10/13/2015,0.07,,,,,12/15/2015,0.62,,,2/18/2016,0.42,,,5/19/2016,0.32,5/16/2016,0.22,,,8/4/2016,2.55,9/14/2016,3.91,,,11/8/2016,0.93,11/18/2016,0.95,12/14/2016,2.28,,,2/28/2017,4.42,,,5/2/2017,1.98,5/17/2017,2.23,,,,,9/11/2017,4.75,9/14/2017,2.01,10/31/2017,5.04,11/14/2017,4.6,12/14/2017,2.4,2/14/2018,2.86,2/14/2018,2.65,3/28/2018,0.38,5/2/2018,0.66,5/23/2018,6.25,7/2/2018,3.6,7/16/2018,2.3,8/14/2018,4,9/25/2018,4.2,10/16/2018,0.43,11/12/2018,0.13,12/17/2018,0.15,2/12/2019,0.39,3/7/2019,7.83,4/15/2019,10.71,4/18/2019,7.03,5/14/2019,1.86,6/17/2019,0.9,,,8/14/2019,1.55,9/13/2019,2.38,,,12/20/2019,11.94,,,,,2/14/2020,9.4,4/8/2020,0.03,5/6/2020,1.3,,,,,,,8/19/2020,11.95,10/12/2020,10.41
,2/19/2015,2.04,,,5/12/2015,0.13,5/27/2015,2.48,7/6/2015,0.06,8/6/2015,0.11,8/20/2015,1.06,10/15/2015,0.07,,,,,12/16/2015,0.68,,,2/19/2016,0.34,,,5/20/2016,0.6,5/17/2016,0.12,,,8/5/2016,3,9/15/2016,4.61,,,11/9/2016,0.46,11/21/2016,1.14,12/15/2016,2.27,,,3/1/2017,4.65,,,5/3/2017,1.87,5/18/2017,2.3,,,,,9/13/2017,4.75,9/15/2017,2.15,11/1/2017,5,11/15/2017,4.15,12/15/2017,3,2/15/2018,4,2/15/2018,3.75,3/29/2018,0.64,5/3/2018,0.79,5/25/2018,6.85,7/6/2018,4.84,7/17/2018,2.64,8/15/2018,3.42,9/26/2018,4.4,10/17/2018,0.3,11/13/2018,0.09,12/18/2018,0.17,2/13/2019,0.38,3/11/2019,9.35,4/18/2019,11.81,4/22/2019,7.1,5/15/2019,2.09,6/18/2019,1.42,,,8/15/2019,1.38,9/16/2019,2.33,,,,,,,,,2/18/2020,8.8,4/9/2020,0.04,5/7/2020,1.95,,,,,,,8/24/2020,14.9,10/13/2020,9.75
,2/20/2015,2.16,,,5/13/2015,0.14,5/28/2015,2.76,7/7/2015,0.03,8/7/2015,0.12,8/21/2015,0.52,10/16/2015,0.02,,,,,12/17/2015,0.48,,,2/22/2016,0.47,,,,,5/18/2016,0.14,,,8/8/2016,3.01,,,,,11/10/2016,0.27,11/22/2016,1.29,12/16/2016,1.93,,,3/2/2017,4.7,,,5/4/2017,1.86,5/19/2017,2.53,,,,,9/14/2017,4.82,9/18/2017,2.2,11/2/2017,5.07,11/16/2017,4.73,12/18/2017,3.44,2/16/2018,4.5,2/16/2018,3.91,4/2/2018,0.25,5/4/2018,1.29,5/29/2018,6.53,7/12/2018,6.55,7/18/2018,2.53,8/16/2018,3.55,9/28/2018,4.2,10/18/2018,0.21,11/14/2018,0.07,12/19/2018,0.09,2/14/2019,0.33,3/12/2019,9.93,,,4/23/2019,8,5/16/2019,2.52,6/19/2019,1.48,,,8/16/2019,1.69,9/17/2019,2.4,,,,,,,,,2/19/2020,10.21,4/15/2020,0.03,5/8/2020,2.61,,,,,,,8/28/2020,19.08,10/14/2020,8.51
,2/24/2015,2.33,,,5/14/2015,0.46,5/29/2015,2.5,7/8/2015,0.02,8/10/2015,0.26,8/24/2015,0.41,,,,,,,12/18/2015,0.18,,,2/23/2016,0.31,,,,,5/20/2016,0.14,,,8/11/2016,3.23,,,,,11/11/2016,0.27,11/23/2016,1.06,12/19/2016,2.2,,,3/3/2017,4.72,,,5/5/2017,1.97,5/22/2017,2.77,,,,,9/15/2017,4.65,9/19/2017,2.39,11/3/2017,5.47,11/17/2017,4.6,12/19/2017,2.98,,,2/20/2018,3.6,4/3/2018,0.25,5/7/2018,1.55,5/30/2018,7.02,7/13/2018,6.6,7/19/2018,2.34,8/17/2018,3.48,10/1/2018,4.92,10/19/2018,0.21,11/15/2018,0.1,12/20/2018,0.05,2/15/2019,0.57,3/14/2019,10.45,,,4/24/2019,8.2,5/17/2019,2.07,6/20/2019,2.08,,,8/19/2019,2.25,9/18/2019,2.27,,,,,,,,,2/20/2020,9.25,4/16/2020,0.02,5/11/2020,3.19,,,,,,,8/31/2020,20.18,10/15/2020,7
,2/25/2015,2,,,5/15/2015,0.29,6/1/2015,2.65,7/9/2015,0.03,8/11/2015,0.09,8/25/2015,0.24,,,,,,,12/21/2015,0.16,,,2/24/2016,0.27,,,,,5/23/2016,0.13,,,8/12/2016,3.09,,,,,11/14/2016,0.07,11/25/2016,1.2,12/20/2016,2.29,,,3/8/2017,4.94,,,5/8/2017,2.2,5/23/2017,2.83,,,,,,,9/20/2017,2.1,11/6/2017,5.67,11/20/2017,4.74,12/20/2017,2.92,,,2/21/2018,4.28,4/4/2018,0.3,5/8/2018,1.62,5/31/2018,7.25,7/17/2018,6.89,7/20/2018,2.37,8/20/2018,3.45,10/2/2018,5.2,10/22/2018,0.22,11/16/2018,0.06,12/21/2018,0.04,,,3/15/2019,11.19,,,4/25/2019,7.85,5/20/2019,1.38,6/21/2019,1.94,,,8/20/2019,2.08,9/19/2019,2.44,,,,,,,,,2/21/2020,7.43,4/17/2020,0.01,5/12/2020,1.31,,,,,,,9/1/2020,21.89,10/16/2020,9.01
,2/26/2015,2.18,,,,,6/2/2015,2.45,7/13/2015,0.02,8/12/2015,0.12,8/26/2015,0.29,,,,,,,12/22/2015,0.21,,,2/25/2016,0.41,,,,,5/24/2016,0.3,,,8/15/2016,3.39,,,,,11/15/2016,0.17,11/28/2016,1.34,12/22/2016,2.04,,,3/10/2017,5.15,,,5/9/2017,2.28,5/24/2017,3.1,,,,,,,9/21/2017,1.93,11/7/2017,5.59,11/21/2017,5.3,12/21/2017,2.86,,,2/22/2018,3.45,4/5/2018,0.31,5/9/2018,2.16,6/1/2018,8.05,7/19/2018,6.65,7/23/2018,2.57,8/21/2018,3.68,10/3/2018,5.45,10/23/2018,0.18,11/19/2018,0.04,12/24/2018,0.03,,,,,,,4/26/2019,7.55,5/21/2019,1.8,6/24/2019,1.91,,,8/21/2019,2.32,9/20/2019,1.98,,,,,,,,,2/24/2020,4.89,,,5/13/2020,0.62,,,,,,,9/3/2020,15.45,,
,2/27/2015,2.22,,,,,6/4/2015,2.12,7/14/2015,0.01,8/13/2015,0.11,8/27/2015,0.71,,,,,,,12/23/2015,0.29,,,2/26/2016,0.4,,,,,5/25/2016,0.41,,,8/16/2016,3.1,,,,,11/16/2016,0.25,11/29/2016,1.31,12/23/2016,2.05,,,3/13/2017,5.17,,,5/10/2017,2.55,5/25/2017,3.47,,,,,,,9/22/2017,1.9,11/8/2017,5.81,11/22/2017,5.27,12/22/2017,2.81,,,2/23/2018,4.49,4/6/2018,0.11,5/10/2018,3,6/4/2018,8.65,,,7/24/2018,2.8,8/22/2018,3.73,10/4/2018,3.85,10/24/2018,0.03,11/20/2018,0.03,12/26/2018,0.02,,,,,,,4/30/2019,7.85,5/22/2019,1.37,6/25/2019,1.19,,,8/22/2019,2.43,9/23/2019,2.04,,,,,,,,,2/25/2020,2.97,,,5/14/2020,0.65,,,,,,,9/4/2020,11.85,,
,3/2/2015,2.38,,,,,6/5/2015,2.05,7/15/2015,0.02,8/14/2015,0.09,8/28/2015,0.69,,,,,,,12/24/2015,0.3,,,2/29/2016,0.33,,,,,5/26/2016,0.46,,,8/17/2016,2.89,,,,,11/17/2016,0.43,11/30/2016,1.01,12/27/2016,2.38,,,3/14/2017,5.05,,,5/11/2017,2.44,5/26/2017,3.46,,,,,,,9/25/2017,1.38,11/9/2017,5.4,11/24/2017,5.57,12/26/2017,2.45,,,2/26/2018,5.3,4/9/2018,0.12,5/11/2018,2.8,6/5/2018,8.9,,,7/25/2018,3.5,8/24/2018,4.52,10/5/2018,2.83,10/25/2018,0.08,11/21/2018,0.03,12/27/2018,0.03,,,,,,,5/1/2019,8.6,5/23/2019,0.87,6/26/2019,1.59,,,8/23/2019,1.14,9/24/2019,1.64,,,,,,,,,2/26/2020,2.93,,,5/15/2020,0.05,,,,,,,9/8/2020,11.58,,
,3/3/2015,2.2,,,,,6/8/2015,1.57,7/16/2015,0.02,8/17/2015,0.07,8/31/2015,0.55,,,,,,,12/28/2015,0.24,,,3/1/2016,0.68,,,,,5/27/2016,0.5,,,8/18/2016,2.99,,,,,11/18/2016,0.37,12/1/2016,0.33,12/28/2016,1.96,,,3/15/2017,5.1,,,5/12/2017,2.57,5/30/2017,3.7,,,,,,,9/26/2017,1.5,11/10/2017,5.49,11/27/2017,5.59,12/27/2017,2.5,,,2/27/2018,5.15,4/10/2018,0.3,5/14/2018,3,6/6/2018,9.24,,,7/26/2018,2.63,8/27/2018,5.15,10/8/2018,2.36,10/26/2018,0.09,11/26/2018,0.01,12/28/2018,0.02,,,,,,,5/2/2019,7.3,5/24/2019,0.85,6/27/2019,1.63,,,8/26/2019,1.47,9/25/2019,2.02,,,,,,,,,2/27/2020,1.4,,,,,,,,,,,9/11/2020,9.1,,
,3/5/2015,2.02,,,,,6/9/2015,1.54,7/17/2015,0.4,8/18/2015,0.03,9/1/2015,0.26,,,,,,,12/29/2015,0.48,,,3/2/2016,0.7,,,,,5/31/2016,0.46,,,8/19/2016,3,,,,,,,12/2/2016,0.39,12/29/2016,1.99,,,3/17/2017,5.35,,,5/15/2017,2.82,5/31/2017,3.61,,,,,,,9/27/2017,2.13,11/13/2017,5.5,11/28/2017,5.74,12/28/2017,2.52,,,2/28/2018,5.27,4/11/2018,0.15,5/15/2018,2.02,6/8/2018,8.7,,,7/27/2018,1.64,8/28/2018,5.35,10/9/2018,2.46,10/29/2018,0.03,11/28/2018,0.02,12/31/2018,0.01,,,,,,,5/6/2019,6.03,5/28/2019,0.7,6/28/2019,1.48,,,8/27/2019,1.45,9/26/2019,1.94,,,,,,,,,2/28/2020,1.45,,,,,,,,,,,9/14/2020,10.55,,
,3/6/2015,1.67,,,,,6/10/2015,1.86,,,8/19/2015,0.01,9/2/2015,0.25,,,,,,,12/30/2015,0.32,,,3/3/2016,0.7,,,,,6/1/2016,0.46,,,,,,,,,,,12/5/2016,0.51,12/30/2016,1.66,,,,,,,5/16/2017,3.06,6/1/2017,3.62,,,,,,,9/28/2017,1.94,11/14/2017,5.35,11/29/2017,4.24,12/29/2017,2.23,,,3/1/2018,3.63,4/12/2018,0.31,5/16/2018,2.41,6/11/2018,8.78,,,7/30/2018,1.05,8/29/2018,5.85,10/10/2018,0.55,10/30/2018,0.04,11/29/2018,0.02,1/2/2019,0.01,,,,,,,5/7/2019,5.5,5/29/2019,0.58,7/1/2019,1.84,,,8/28/2019,1.34,9/27/2019,1.44,,,,,,,,,3/2/2020,3.2,,,,,,,,,,,9/15/2020,12.98,,
,3/9/2015,1.55,,,,,6/11/2015,2.1,,,8/20/2015,0.01,9/3/2015,0.31,,,,,,,12/31/2015,0.14,,,3/4/2016,0.84,,,,,6/2/2016,0.34,,,,,,,,,,,12/6/2016,0.54,1/3/2017,1.85,,,,,,,5/17/2017,1.61,6/2/2017,4.1,,,,,,,9/29/2017,2.24,11/15/2017,5.02,11/30/2017,4.83,1/2/2018,2.86,,,3/2/2018,3.54,4/13/2018,0.1,5/17/2018,2.2,6/12/2018,9.05,,,7/31/2018,1.09,8/30/2018,5.72,10/11/2018,0.35,10/31/2018,0.08,11/30/2018,0.04,1/3/2019,0.01,,,,,,,5/8/2019,6.15,5/30/2019,0.54,7/2/2019,1.99,,,8/29/2019,1.95,9/30/2019,1.8,,,,,,,,,3/3/2020,1.68,,,,,,,,,,,9/16/2020,12.6,,
,3/10/2015,1.13,,,,,6/12/2015,1.89,,,8/21/2015,0.01,9/9/2015,0.48,,,,,,,1/4/2016,0.04,,,3/7/2016,0.56,,,,,6/3/2016,0.32,,,,,,,,,,,12/7/2016,1.21,1/4/2017,2.1,,,,,,,5/18/2017,2.04,6/5/2017,4.29,,,,,,,10/2/2017,2.33,11/16/2017,5.83,12/1/2017,4.33,1/3/2018,3.38,,,3/5/2018,4.54,4/16/2018,0.13,5/18/2018,1.95,6/14/2018,9.2,,,8/1/2018,1.36,8/31/2018,5.63,10/12/2018,0.91,11/1/2018,0.07,12/3/2018,0.03,1/4/2019,0.01,,,,,,,5/9/2019,5.25,5/31/2019,0.34,7/3/2019,2.45,,,8/30/2019,1.76,10/1/2019,1.4,,,,,,,,,3/4/2020,2.95,,,,,,,,,,,9/17/2020,10.29,,
,3/11/2015,0.74,,,,,6/16/2015,1.55,,,,,9/10/2015,0.26,,,,,,,1/5/2016,0.04,,,3/8/2016,0.56,,,,,6/6/2016,0.36,,,,,,,,,,,12/8/2016,1.35,1/6/2017,2.46,,,,,,,5/19/2017,2.2,6/6/2017,4.25,,,,,,,10/3/2017,2.48,11/17/2017,5.34,12/4/2017,4.12,1/4/2018,3.71,,,3/6/2018,4.57,4/17/2018,0.5,,,6/15/2018,8.5,,,8/2/2018,1.9,9/4/2018,5.49,10/15/2018,0.31,11/2/2018,0.01,12/4/2018,0.03,1/7/2019,0.01,,,,,,,5/10/2019,4.87,6/3/2019,0.22,7/8/2019,1.64,,,9/3/2019,1.28,10/2/2019,0.78,,,,,,,,,3/5/2020,2.05,,,,,,,,,,,9/18/2020,7.8,,
,3/12/2015,0.87,,,,,6/17/2015,1.76,,,,,9/11/2015,0.21,,,,,,,1/6/2016,0.02,,,3/9/2016,0.59,,,,,6/7/2016,0.41,,,,,,,,,,,12/9/2016,1.62,1/9/2017,2.52,,,,,,,,,6/7/2017,4.35,,,,,,,10/4/2017,2.41,,,12/5/2017,3.75,1/5/2018,4.33,,,3/7/2018,4.75,4/18/2018,0.34,,,,,,,8/3/2018,1.88,9/5/2018,4.65,10/16/2018,1.2,11/5/2018,0.02,12/6/2018,0.01,1/8/2019,0.01,,,,,,,5/13/2019,3.05,6/4/2019,0.41,7/9/2019,1.9,,,9/4/2019,1.95,10/3/2019,0.96,,,,,,,,,3/6/2020,1.19,,,,,,,,,,,,,,
,3/13/2015,0.63,,,,,6/18/2015,2.08,,,,,9/14/2015,0.14,,,,,,,1/7/2016,0.02,,,3/10/2016,0.54,,,,,6/8/2016,0.46,,,,,,,,,,,12/12/2016,1.44,1/10/2017,2.41,,,,,,,,,6/8/2017,4.2,,,,,,,10/5/2017,2.93,,,12/7/2017,4.4,1/8/2018,4.75,,,3/8/2018,5,4/19/2018,0.05,,,,,,,8/6/2018,2.28,9/6/2018,4.15,10/17/2018,0.75,11/6/2018,0.02,12/7/2018,0.01,1/9/2019,0.01,,,,,,,5/14/2019,4,6/5/2019,0.65,7/10/2019,2.3,,,9/5/2019,3.13,10/4/2019,1.6,,,,,,,,,3/9/2020,0.31,,,,,,,,,,,,,,
,3/16/2015,0.93,,,,,6/19/2015,1.65,,,,,9/15/2015,0.33,,,,,,,1/8/2016,0.02,,,3/11/2016,0.96,,,,,6/9/2016,0.47,,,,,,,,,,,12/13/2016,2.23,1/11/2017,2.61,,,,,,,,,6/9/2017,3.1,,,,,,,10/6/2017,2.95,,,12/8/2017,4.6,1/9/2018,4.64,,,3/9/2018,6.34,4/20/2018,0.01,,,,,,,8/7/2018,2.5,9/7/2018,3.55,10/18/2018,0.13,11/7/2018,0.01,12/10/2018,0.01,1/10/2019,0.01,,,,,,,5/15/2019,4.36,6/6/2019,1.05,7/11/2019,2.55,,,9/6/2019,2.94,10/7/2019,1.44,,,,,,,,,3/10/2020,0.63,,,,,,,,,,,,,,
,3/17/2015,1.06,,,,,,,,,,,9/16/2015,0.34,,,,,,,1/11/2016,0.01,,,3/14/2016,1.03,,,,,6/10/2016,0.22,,,,,,,,,,,12/14/2016,1.98,1/12/2017,2.47,,,,,,,,,6/12/2017,2.46,,,,,,,10/9/2017,3.12,,,12/11/2017,5.05,1/10/2018,4.04,,,3/12/2018,6.9,,,,,,,,,8/8/2018,2.72,9/11/2018,4.54,10/19/2018,0.01,11/9/2018,0.01,12/11/2018,0.05,1/14/2019,0.01,,,,,,,5/17/2019,4.42,6/7/2019,1.88,7/12/2019,3.18,,,9/9/2019,2.31,10/8/2019,0.72,,,,,,,,,3/11/2020,0.26,,,,,,,,,,,,,,
,3/18/2015,1.51,,,,,,,,,,,9/17/2015,0.15,,,,,,,1/15/2016,0.01,,,3/15/2016,1.07,,,,,6/13/2016,0.08,,,,,,,,,,,12/15/2016,2.21,1/13/2017,2.66,,,,,,,,,6/13/2017,3.06,,,,,,,10/10/2017,3.1,,,12/12/2017,5.25,1/11/2018,4.4,,,3/13/2018,6.33,,,,,,,,,8/9/2018,2.88,9/12/2018,4.15,,,11/14/2018,0.02,12/12/2018,0.01,1/15/2019,0.01,,,,,,,,,6/10/2019,2.59,7/15/2019,3.29,,,9/10/2019,1.67,10/9/2019,1.12,,,,,,,,,3/12/2020,0.06,,,,,,,,,,,,,,
,3/19/2015,1.52,,,,,,,,,,,9/18/2015,0.01,,,,,,,,,,,3/16/2016,1.54,,,,,6/14/2016,0.05,,,,,,,,,,,12/16/2016,1.59,1/17/2017,2.48,,,,,,,,,6/14/2017,2.45,,,,,,,10/11/2017,3.3,,,12/13/2017,5.32,1/12/2018,4.77,,,3/14/2018,5.72,,,,,,,,,8/10/2018,2.03,9/13/2018,5.11,,,11/16/2018,0.01,,,1/16/2019,0.01,,,,,,,,,6/11/2019,2.14,7/16/2019,2.78,,,9/11/2019,2.55,10/10/2019,1.29,,,,,,,,,3/13/2020,0.09,,,,,,,,,,,,,,
,3/20/2015,1.55,,,,,,,,,,,,,,,,,,,,,,,3/17/2016,1.78,,,,,6/15/2016,0.04,,,,,,,,,,,,,1/18/2017,2.6,,,,,,,,,6/15/2017,2.54,,,,,,,10/12/2017,3.36,,,12/14/2017,5.1,1/16/2018,4.7,,,3/15/2018,5.99,,,,,,,,,8/13/2018,2.13,9/14/2018,5.25,,,,,,,1/18/2019,0.04,,,,,,,,,6/12/2019,1.97,7/17/2019,2.67,,,9/12/2019,3.3,10/11/2019,2.2,,,,,,,,,3/16/2020,0.05,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,3/18/2016,1.57,,,,,6/16/2016,0.01,,,,,,,,,,,,,1/19/2017,2.51,,,,,,,,,,,,,,,,,10/13/2017,3.58,,,12/15/2017,5.5,1/17/2018,5.58,,,3/16/2018,5.6,,,,,,,,,8/14/2018,2.42,9/17/2018,4.13,,,,,,,,,,,,,,,,,6/13/2019,2.08,7/18/2019,3.05,,,9/13/2019,2.35,10/14/2019,1.82,,,,,,,,,3/20/2020,0.01,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/17/2016,0.01,,,,,,,,,,,,,1/20/2017,2.75,,,,,,,,,,,,,,,,,10/16/2017,3.65,,,,,1/18/2018,5.81,,,,,,,,,,,,,8/15/2018,1.87,9/18/2018,4.5,,,,,,,,,,,,,,,,,6/14/2019,1.63,7/19/2019,2.85,,,9/16/2019,2.15,10/15/2019,2.52,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/17/2017,3.64,,,,,1/19/2018,5.74,,,,,,,,,,,,,8/16/2018,2.07,9/19/2018,4.33,,,,,,,,,,,,,,,,,6/17/2019,1.49,,,,,9/17/2019,2.16,10/16/2019,1.9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/18/2017,3.94,,,,,,,,,,,,,,,,,,,8/17/2018,2.15,9/20/2018,5.2,,,,,,,,,,,,,,,,,6/18/2019,2.57,,,,,9/18/2019,2.23,10/17/2019,1.65,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/19/2017,3.59,,,,,,,,,,,,,,,,,,,,,9/21/2018,4.99,,,,,,,,,,,,,,,,,6/19/2019,2.93,,,,,9/19/2019,2.42,10/18/2019,0.98,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/20/2017,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/20/2019,3.89,,,,,9/20/2019,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/21/2019,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
