,XLI 3/20/15 C56,,XLI 4/17/15 C55,,XLI 5/15/15 C58,,XLI 6/19/15 C55,,XLI 7/17/15 C56,,XLI 8/21/15 C56,,XLI 9/18/15 C54,,XLI 10/16/15 C53,,XLI 11/20/15 C49,,XLI 12/18/15 C49,,XLI 1/15/16 C54,,XLI 2/19/16 C55,,XLI 3/18/16 C52,,XLI 4/15/16 C49,,XLI 5/20/16 C53,,XLI 6/17/16 C55,,XLI 7/15/16 C56,,XLI 8/19/16 C55,,XLI 9/16/16 C56,,XLI 10/21/16 C57,,XLI 11/18/16 C58,,XLI 12/16/16 C58,,XLI 1/20/17 C56,,XLI 2/17/17 C62,,XLI 3/17/17 C62,,XLI 4/21/17 C63,,XLI 5/19/17 C66,,XLI 6/16/17 C64,,XLI 7/21/17 C66,,XLI 8/18/17 C67,,XLI 9/15/17 C68,,XLI 10/20/17 C68,,XLI 11/17/17 C68,,XLI 12/15/17 C71,,XLI 1/19/18 C71,,XLI 2/16/18 C73,,XLI 3/16/18 C76,,XLI 4/20/18 C79,,XLI 5/18/18 C75,,XLI 6/15/18 C72,,XLI 7/20/18 C71,,XLI 8/17/18 C75,,XLI 9/21/18 C71,,XLI 10/19/18 C75,,XLI 11/16/18 C77,,XLI 12/21/18 C79,,XLI 1/18/19 C71,,XLI 2/15/19 C73,,XLI 3/15/19 C64,,XLI 4/18/19 C71,,XLI 5/17/19 C76,,XLI 6/21/19 C76,,XLI 7/19/19 C77,,XLI 8/16/19 C72,,XLI 9/20/19 C77,,XLI 10/18/19 C76,,XLI 11/15/19 C74,,XLI 12/20/19 C75,,XLI 1/17/20 C80,,XLI 2/21/20 C80,,XLI 3/20/20 C83,,XLI 4/17/20 C81,,XLI 5/15/20 C75,,XLI 6/19/20 C56,,XLI 7/17/20 C62,,XLI 8/21/20 C67,,XLI 9/18/20 C68,,XLI 10/16/20 C72,
,2/26/2015,1.98,,,,,6/8/2015,0.87,,,8/17/2015,0.02,,,,,,,,,1/6/2016,0.04,,,2/26/2016,1.2,,,,,5/26/2016,1.28,7/8/2016,1.23,,,9/15/2016,1.4,10/3/2016,1.65,10/31/2016,0.55,11/14/2016,3.6,,,2/13/2017,3.35,2/16/2017,3.83,,,5/2/2017,0.82,5/22/2017,2.9,,,,,8/23/2017,0.49,10/17/2017,3.92,,,11/17/2017,0.56,12/14/2017,3.55,,,2/14/2018,1.6,4/5/2018,0.06,5/3/2018,0.1,5/22/2018,4.1,6/26/2018,1.95,7/16/2018,0.66,9/20/2018,8.76,9/18/2018,4.85,10/17/2018,0.6,11/14/2018,0.06,12/17/2018,0.29,,,,,,,4/16/2019,2.21,5/14/2019,1.24,6/18/2019,1.13,,,8/14/2019,0.55,10/7/2019,0.81,,,,,12/19/2019,1.91,,,2/19/2020,2.25,,,,,,,,,,,,,,
,2/27/2015,1.76,,,,,6/9/2015,0.8,,,8/20/2015,0.01,,,,,,,,,1/7/2016,0.02,,,2/29/2016,1,,,,,5/27/2016,1.29,7/11/2016,1.69,,,9/16/2016,0.67,10/4/2016,1.38,11/1/2016,0.41,11/15/2016,3.45,,,2/14/2017,3.35,2/17/2017,3.75,,,5/3/2017,0.94,5/23/2017,2.94,,,,,8/24/2017,0.4,10/18/2017,4.11,,,11/20/2017,0.59,12/15/2017,3.8,,,2/15/2018,2.28,4/6/2018,0.03,5/4/2018,0.15,5/23/2018,3.5,6/27/2018,2.01,7/17/2018,0.66,9/21/2018,8.72,9/19/2018,5.17,10/18/2018,0.38,11/16/2018,0.08,12/18/2018,0.29,,,,,,,4/17/2019,2.27,5/15/2019,1.2,6/19/2019,1.11,,,8/15/2019,0.43,10/8/2019,0.41,,,,,12/20/2019,2.01,,,2/20/2020,2.14,,,,,,,,,,,,,,
,3/2/2015,2.01,,,,,6/10/2015,1.17,,,,,,,,,,,,,1/11/2016,0.01,,,3/1/2016,1.18,,,,,5/31/2016,1.24,7/12/2016,2.17,,,,,10/5/2016,1.6,11/2/2016,0.3,11/16/2016,3.45,,,2/15/2017,3.6,2/21/2017,4.1,,,5/4/2017,0.83,5/24/2017,3.1,,,,,8/25/2017,0.52,10/19/2017,3.81,,,11/21/2017,0.85,12/18/2017,4.3,,,2/16/2018,2.42,4/10/2018,0.04,5/7/2018,0.17,5/24/2018,3.87,6/28/2018,1.62,7/18/2018,1.02,,,9/20/2018,4.81,10/19/2018,0.3,11/19/2018,0.05,12/19/2018,0.13,,,,,,,4/18/2019,2.86,5/16/2019,1.49,6/20/2019,1.77,,,8/16/2019,0.65,10/9/2019,0.43,,,,,12/23/2019,2.65,,,2/21/2020,2,,,,,,,,,,,,,,
,3/3/2015,1.88,,,,,6/11/2015,1.4,,,,,,,,,,,,,1/13/2016,0.01,,,3/2/2016,1.5,,,,,6/1/2016,1.04,7/13/2016,2.13,,,,,10/6/2016,1.42,11/3/2016,0.29,11/21/2016,3.6,,,2/16/2017,3.55,2/23/2017,3.7,,,5/5/2017,1.19,5/25/2017,3.28,,,,,8/28/2017,0.41,10/20/2017,4.81,,,11/22/2017,0.91,12/19/2017,4.45,,,2/20/2018,1.76,4/11/2018,0.02,5/8/2018,0.18,5/25/2018,3.89,6/29/2018,2.01,7/19/2018,1.01,,,9/21/2018,5.15,10/22/2018,0.26,11/21/2018,0.01,12/20/2018,0.1,,,,,,,4/22/2019,2.64,5/17/2019,1.02,6/21/2019,1.55,,,8/19/2019,0.76,10/10/2019,0.58,,,,,12/24/2019,2.35,,,2/24/2020,1.08,,,,,,,,,,,,,,
,3/4/2015,1.34,,,,,6/15/2015,0.73,,,,,,,,,,,,,1/15/2016,0.02,,,3/3/2016,1.78,,,,,6/2/2016,1.19,7/14/2016,2.7,,,,,10/11/2016,0.58,11/4/2016,0.37,11/22/2016,3.91,,,,,2/27/2017,4,,,5/8/2017,0.97,5/26/2017,3.52,,,,,8/29/2017,0.6,,,,,11/24/2017,0.88,12/20/2017,4.55,,,2/21/2018,1.74,4/12/2018,0.01,5/9/2018,0.35,5/29/2018,2.89,7/2/2018,1.48,7/20/2018,0.88,,,9/24/2018,4,10/23/2018,0.18,11/27/2018,0.01,12/21/2018,0.06,,,,,,,4/23/2019,3.3,5/20/2019,0.93,6/24/2019,1.47,,,8/20/2019,0.56,10/11/2019,1.73,,,,,12/26/2019,2.18,,,2/25/2020,0.41,,,,,,,,,,,,,,
,3/6/2015,0.9,,,,,6/17/2015,0.76,,,,,,,,,,,,,,,,,3/4/2016,2.05,,,,,6/3/2016,0.99,7/15/2016,2.68,,,,,10/12/2016,0.61,11/7/2016,0.6,11/28/2016,4.45,,,,,3/1/2017,5,,,5/9/2017,1.11,5/30/2017,3.45,,,,,8/30/2017,0.58,,,,,11/27/2017,0.92,12/21/2017,4.61,,,2/22/2018,1.98,4/13/2018,0.02,5/10/2018,0.44,5/30/2018,3.74,7/3/2018,1.74,7/23/2018,0.65,,,9/25/2018,3.83,10/24/2018,0.08,11/28/2018,0.01,12/24/2018,0.06,,,,,,,4/24/2019,3.04,5/21/2019,1.13,6/25/2019,1.18,,,8/21/2019,0.61,10/14/2019,1.02,,,,,12/27/2019,2.53,,,2/26/2020,0.23,,,,,,,,,,,,,,
,3/9/2015,1.05,,,,,6/18/2015,1.3,,,,,,,,,,,,,,,,,3/11/2016,2.16,,,,,6/6/2016,1.4,,,,,,,10/13/2016,0.57,11/8/2016,0.88,12/2/2016,4.8,,,,,3/2/2017,4.6,,,5/10/2017,0.83,5/31/2017,3.19,,,,,8/31/2017,0.65,,,,,11/28/2017,1.81,12/22/2017,4.45,,,2/23/2018,2.27,4/16/2018,0.01,5/11/2018,0.46,5/31/2018,2.81,7/5/2018,1.43,7/24/2018,0.76,,,9/26/2018,3.92,10/25/2018,0.1,11/29/2018,0.02,12/26/2018,0.05,,,,,,,4/25/2019,1.84,5/22/2019,0.89,6/26/2019,1.22,,,8/22/2019,0.69,10/15/2019,1.57,,,,,12/30/2019,2.1,,,2/27/2020,0.27,,,,,,,,,,,,,,
,3/10/2015,0.55,,,,,6/19/2015,0.83,,,,,,,,,,,,,,,,,3/15/2016,1.95,,,,,6/7/2016,1.93,,,,,,,10/14/2016,0.79,11/9/2016,2.01,12/5/2016,4.97,,,,,3/7/2017,4,,,5/11/2017,0.9,6/1/2017,4.1,,,,,9/1/2017,0.92,,,,,11/29/2017,2.28,12/26/2017,4.65,,,2/26/2018,3.06,4/17/2018,0.01,5/14/2018,0.3,6/4/2018,3.61,7/6/2018,1.8,7/25/2018,1.29,,,9/28/2018,3.77,10/26/2018,0.09,11/30/2018,0.04,12/27/2018,0.08,,,,,,,4/26/2019,2.1,5/23/2019,0.47,6/27/2019,1.22,,,8/23/2019,0.38,10/16/2019,1.37,,,,,12/31/2019,1.85,,,2/28/2020,0.21,,,,,,,,,,,,,,
,3/11/2015,0.5,,,,,,,,,,,,,,,,,,,,,,,3/16/2016,2.46,,,,,6/8/2016,2.1,,,,,,,10/17/2016,0.48,11/10/2016,2.96,12/6/2016,4.85,,,,,3/8/2017,3.95,,,5/12/2017,0.52,6/2/2017,4.5,,,,,9/5/2017,0.39,,,,,11/30/2017,3.5,12/27/2017,4.85,,,2/27/2018,2.43,4/18/2018,0.01,5/15/2018,0.15,6/5/2018,3.28,7/9/2018,2.65,7/26/2018,1.73,,,10/1/2018,4.42,10/29/2018,0.07,12/3/2018,0.03,12/28/2018,0.11,,,,,,,4/29/2019,2.17,5/24/2019,0.51,6/28/2019,1.52,,,8/26/2019,0.36,10/17/2019,1.81,,,,,1/2/2020,3,,,3/2/2020,0.12,,,,,,,,,,,,,,
,3/12/2015,0.8,,,,,,,,,,,,,,,,,,,,,,,3/17/2016,3.53,,,,,6/9/2016,2.09,,,,,,,10/18/2016,0.51,11/11/2016,2.98,12/7/2016,5.65,,,,,3/9/2017,3.43,,,5/15/2017,0.69,6/5/2017,4.1,,,,,9/6/2017,0.4,,,,,12/1/2017,2.98,12/29/2017,5.02,,,2/28/2018,1.9,4/19/2018,0.01,5/16/2018,0.25,6/6/2018,3.66,7/10/2018,2.72,7/27/2018,1.66,,,10/2/2018,4.25,10/31/2018,0.05,12/10/2018,0.03,12/31/2018,0.04,,,,,,,4/30/2019,2.64,5/28/2019,0.33,7/1/2019,1.36,,,8/27/2019,0.28,10/18/2019,1.02,,,,,1/3/2020,3.2,,,3/3/2020,0.14,,,,,,,,,,,,,,
,3/13/2015,0.42,,,,,,,,,,,,,,,,,,,,,,,3/18/2016,3.66,,,,,6/10/2016,1.57,,,,,,,10/19/2016,0.55,11/14/2016,3.41,12/8/2016,5.91,,,,,3/13/2017,3.82,,,5/17/2017,0.15,6/6/2017,3.75,,,,,9/7/2017,0.31,,,,,12/4/2017,3.71,1/2/2018,5.15,,,3/1/2018,0.76,,,5/17/2018,0.18,6/7/2018,4.12,7/11/2018,2.04,7/30/2018,1.3,,,10/3/2018,5.09,11/1/2018,0.04,12/11/2018,0.01,1/2/2019,0.03,,,,,,,5/1/2019,2.36,5/29/2019,0.27,7/2/2019,1.11,,,8/28/2019,0.33,,,,,,,1/6/2020,2.95,,,3/4/2020,0.07,,,,,,,,,,,,,,
,3/16/2015,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/13/2016,1.12,,,,,,,10/20/2016,0.25,11/16/2016,3.16,12/9/2016,5.99,,,,,3/14/2017,3.16,,,5/18/2017,0.05,6/7/2017,3.42,,,,,9/8/2017,0.51,,,,,12/5/2017,2.84,1/3/2018,5.2,,,3/2/2018,0.8,,,5/18/2018,0.38,6/11/2018,4.8,7/12/2018,2.41,7/31/2018,2.22,,,10/4/2018,4.25,11/2/2018,0.04,12/20/2018,0.01,1/3/2019,0.03,,,,,,,5/2/2019,1.87,5/30/2019,0.25,7/3/2019,1.28,,,8/29/2019,0.59,,,,,,,1/7/2020,3.15,,,3/5/2020,0.04,,,,,,,,,,,,,,
,3/17/2015,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/14/2016,0.93,,,,,,,10/21/2016,0.03,11/17/2016,3.3,12/12/2016,5.44,,,,,3/15/2017,3.85,,,5/19/2017,0.19,6/8/2017,3.67,,,,,9/11/2017,0.85,,,,,12/6/2017,2.83,1/5/2018,6.31,,,3/5/2018,1,,,,,6/12/2018,4.55,7/13/2018,2.84,8/1/2018,1.65,,,10/5/2018,4.05,11/5/2018,0.03,,,1/4/2019,0.02,,,,,,,5/3/2019,2.58,5/31/2019,0.14,7/5/2019,1.01,,,8/30/2019,0.71,,,,,,,1/8/2020,3.3,,,3/6/2020,0.03,,,,,,,,,,,,,,
,3/18/2015,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/15/2016,1.2,,,,,,,,,11/18/2016,3.31,12/13/2016,5.8,,,,,3/16/2017,3.67,,,,,6/9/2017,3.75,,,,,9/12/2017,1.12,,,,,12/7/2017,3.52,1/8/2018,6.94,,,3/6/2018,1.17,,,,,6/13/2018,3.95,7/16/2018,2.46,8/2/2018,1.36,,,10/8/2018,4.2,11/6/2018,0.03,,,1/8/2019,0.03,,,,,,,5/6/2019,2.2,6/3/2019,0.13,7/8/2019,0.69,,,9/3/2019,0.36,,,,,,,1/9/2020,3.33,,,3/9/2020,0.03,,,,,,,,,,,,,,
,3/19/2015,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/16/2016,1.05,,,,,,,,,,,12/14/2016,5.5,,,,,3/17/2017,3.8,,,,,6/12/2017,4.11,,,,,9/13/2017,1.1,,,,,12/8/2017,3.66,1/9/2018,7.59,,,3/7/2018,1.03,,,,,6/14/2018,3.63,7/17/2018,2.52,8/3/2018,1.37,,,10/9/2018,3.34,11/7/2018,0.01,,,1/9/2019,0.02,,,,,,,5/7/2019,1.21,6/4/2019,0.39,7/9/2019,0.53,,,9/4/2019,0.5,,,,,,,1/10/2020,3,,,3/10/2020,0.02,,,,,,,,,,,,,,
,3/20/2015,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/17/2016,0.73,,,,,,,,,,,12/15/2016,5.13,,,,,,,,,,,6/13/2017,4.43,,,,,9/14/2017,1.42,,,,,12/11/2017,3.53,1/17/2018,8.88,,,3/8/2018,0.87,,,,,6/15/2018,3.1,7/18/2018,3.58,8/6/2018,1.3,,,10/10/2018,1.82,11/8/2018,0.01,,,1/10/2019,0.03,,,,,,,5/8/2019,1.36,6/5/2019,0.61,7/10/2019,0.45,,,9/5/2019,0.93,,,,,,,1/13/2020,3.52,,,3/11/2020,0.04,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/14/2017,4.35,,,,,9/15/2017,1.32,,,,,12/12/2017,3.75,1/18/2018,8.59,,,3/9/2018,2.36,,,,,,,7/19/2018,3.3,8/7/2018,1.72,,,10/11/2018,0.82,11/9/2018,0.02,,,1/11/2019,0.02,,,,,,,5/9/2019,1.2,6/6/2019,0.51,7/11/2019,0.5,,,9/6/2019,0.83,,,,,,,1/14/2020,3.69,,,3/13/2020,0.03,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/15/2017,4.65,,,,,,,,,,,12/13/2017,3.96,1/19/2018,8.65,,,3/12/2018,1.82,,,,,,,7/20/2018,3.65,8/8/2018,1.35,,,10/12/2018,0.56,11/12/2018,0.01,,,1/15/2019,0.01,,,,,,,5/10/2019,0.85,6/7/2019,0.91,7/12/2019,1.53,,,9/9/2019,1,,,,,,,1/15/2020,3.63,,,3/20/2020,0.01,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/14/2017,3.5,,,,,3/13/2018,1.46,,,,,,,,,8/9/2018,1.04,,,10/15/2018,0.45,11/13/2018,0.01,,,1/18/2019,0.01,,,,,,,5/13/2019,0.23,6/10/2019,1.05,7/15/2019,1.23,,,9/10/2019,1.31,,,,,,,1/16/2020,4.38,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/14/2018,0.47,,,,,,,,,8/10/2018,0.73,,,10/16/2018,0.75,11/14/2018,0.01,,,,,,,,,,,5/14/2019,0.23,6/11/2019,0.51,7/16/2019,1.74,,,9/11/2019,1.93,,,,,,,1/17/2020,4.32,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/15/2018,0.52,,,,,,,,,8/13/2018,0.45,,,10/17/2018,0.37,11/15/2018,0.01,,,,,,,,,,,5/15/2019,0.13,6/12/2019,0.48,7/17/2019,0.4,,,9/12/2019,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/16/2018,0.66,,,,,,,,,8/14/2018,0.58,,,10/18/2018,0.08,,,,,,,,,,,,,5/16/2019,0.2,6/13/2019,0.47,7/18/2019,0.21,,,9/13/2019,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/15/2018,0.36,,,10/19/2018,0.02,,,,,,,,,,,,,5/17/2019,0.04,6/14/2019,0.38,7/19/2019,0.54,,,9/16/2019,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/16/2018,0.89,,,,,,,,,,,,,,,,,,,6/17/2019,0.18,,,,,9/17/2019,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/17/2018,1.35,,,,,,,,,,,,,,,,,,,6/18/2019,0.89,,,,,9/18/2019,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/19/2019,0.83,,,,,9/19/2019,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/20/2019,1.9,,,,,9/20/2019,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/21/2019,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
