,XLY 3/20/15 P71,,XLY 4/17/15 P70,,XLY 5/15/15 P76,,XLY 6/19/15 P75,,XLY 7/17/15 P76,,XLY 8/21/15 P76,,XLY 9/18/15 P77,,XLY 10/16/15 P79,,XLY 11/20/15 P73,,XLY 12/18/15 P74,,XLY 1/15/16 P81,,XLY 2/19/16 P81,,XLY 3/18/16 P76,,XLY 4/15/16 P74,,XLY 5/20/16 P76,,XLY 6/17/16 P79,,XLY 7/15/16 P80,,XLY 8/19/16 P79,,XLY 9/16/16 P78,,XLY 10/21/16 P81,,XLY 11/18/16 P80,,XLY 12/16/16 P79,,XLY 1/20/17 P77,,XLY 2/17/17 P81,,XLY 3/17/17 P81,,XLY 4/21/17 P84,,XLY 5/19/17 P87,,XLY 6/16/17 P87,,XLY 7/21/17 P90,,XLY 8/18/17 P91,,XLY 9/15/17 P89,,XLY 10/20/17 P91,,XLY 11/17/17 P90,,XLY 12/15/17 P90,,XLY 1/19/18 P92,,XLY 2/16/18 P96,,XLY 3/16/18 P100,,XLY 4/20/18 P106,,XLY 5/18/18 P102,,XLY 6/15/18 P98,,XLY 7/20/18 P103,,XLY 8/17/18 P106,,XLY 9/21/18 P109,,XLY 10/19/18 P110,,XLY 11/16/18 P117,,XLY 12/21/18 P116,,XLY 1/18/19 P107,,XLY 2/15/19 P110,,XLY 3/15/19 P99,,XLY 4/18/19 P107,,XLY 5/17/19 P111,,XLY 6/21/19 P115,,XLY 7/19/19 P118,,XLY 8/16/19 P110,,XLY 9/20/19 P120,,XLY 10/18/19 P119,,XLY 11/15/19 P119,,XLY 12/20/19 P119,,XLY 1/17/20 P121,,XLY 2/21/20 P121,,XLY 3/20/20 P126,,XLY 4/17/20 P126,,XLY 5/15/20 P119,,XLY 6/19/20 P93,,XLY 7/17/20 P112,,XLY 8/21/20 P125,,XLY 9/18/20 P129,,XLY 10/16/20 P136,
,,,,,5/15/2015,0.06,5/22/2015,0.52,7/9/2015,0.66,8/18/2015,0.05,8/24/2015,6.72,,,,,,,,,,,,,,,,,6/7/2016,0.46,,,,,,,10/5/2016,1.19,11/11/2016,1.2,11/30/2016,0.24,1/20/2017,0.01,,,3/7/2017,0.03,,,5/15/2017,0.01,6/1/2017,0.06,,,,,9/11/2017,0.25,,,11/3/2017,0.25,11/28/2017,0.04,12/21/2017,0.1,,,2/28/2018,0.38,,,5/11/2018,0.11,6/8/2018,0.46,,,,,8/29/2018,0.12,10/12/2018,2.57,,,,,1/14/2019,3.03,,,,,,,,,5/23/2019,3.24,,,,,8/30/2019,2.34,10/9/2019,1.44,11/8/2019,0.17,12/3/2019,1.2,12/24/2019,0.37,2/12/2020,0.07,2/28/2020,12.95,,,,,,,,,8/7/2020,0.1,,,,
,,,,,,,5/26/2015,0.75,7/10/2015,0.25,8/19/2015,0.05,8/25/2015,4.08,,,,,,,,,,,,,,,,,6/13/2016,1.15,,,,,,,10/7/2016,1.38,11/14/2016,0.64,12/1/2016,0.35,,,,,3/9/2017,0.02,,,5/17/2017,0.12,6/2/2017,0.04,,,,,9/12/2017,0.18,,,11/6/2017,0.17,11/29/2017,0.11,12/22/2017,0.09,,,3/1/2018,0.81,,,5/16/2018,0.02,6/11/2018,0.02,,,,,8/30/2018,0.11,10/15/2018,2.09,,,,,1/15/2019,2.8,,,,,,,,,5/24/2019,2.89,,,,,9/3/2019,2.59,10/10/2019,1.23,11/11/2019,0.09,12/4/2019,0.84,12/26/2019,0.25,2/13/2020,0.03,3/2/2020,9.13,,,,,,,,,8/10/2020,0.07,,,,
,,,,,,,5/27/2015,0.5,7/13/2015,0.08,8/20/2015,0.14,8/27/2015,3.4,,,,,,,,,,,,,,,,,6/14/2016,1.53,,,,,,,10/10/2016,1.33,11/15/2016,0.38,12/2/2016,0.34,,,,,3/10/2017,0.03,,,5/18/2017,0.08,6/5/2017,0.03,,,,,9/14/2017,0.01,,,11/7/2017,0.24,11/30/2017,0.07,12/27/2017,0.06,,,3/2/2018,0.94,,,,,6/13/2018,0.02,,,,,8/31/2018,0.14,10/16/2018,0.57,,,,,1/16/2019,2.27,,,,,,,,,5/28/2019,2.68,,,,,9/4/2019,1.83,10/11/2019,0.33,11/12/2019,0.06,12/5/2019,0.94,12/27/2019,0.27,2/14/2020,0.03,3/3/2020,7.04,,,,,,,,,8/11/2020,0.05,,,,
,,,,,,,5/28/2015,0.52,7/14/2015,0.02,8/21/2015,1.4,8/31/2015,2.91,,,,,,,,,,,,,,,,,6/15/2016,0.8,,,,,,,10/11/2016,2.15,11/16/2016,0.16,12/5/2016,0.14,,,,,3/17/2017,0.01,,,,,6/6/2017,0.05,,,,,,,,,11/9/2017,0.24,12/1/2017,0.1,12/28/2017,0.06,,,3/5/2018,0.48,,,,,6/14/2018,0.01,,,,,9/4/2018,0.13,10/17/2018,1.08,,,,,1/17/2019,1.77,,,,,,,,,5/29/2019,4.35,,,,,9/5/2019,0.59,10/14/2019,0.32,11/13/2019,0.05,12/6/2019,0.47,12/30/2019,0.4,2/18/2020,0.02,3/4/2020,6.8,,,,,,,,,8/12/2020,0.05,,,,
,,,,,,,5/29/2015,0.64,7/16/2015,0.03,,,9/2/2015,3.9,,,,,,,,,,,,,,,,,6/16/2016,1.5,,,,,,,10/12/2016,1.8,11/17/2016,0.02,12/6/2016,0.12,,,,,,,,,,,6/8/2017,0.05,,,,,,,,,11/10/2017,0.13,12/4/2017,0.06,12/29/2017,0.08,,,3/12/2018,0.02,,,,,,,,,,,9/11/2018,0.06,10/18/2018,2.5,,,,,1/18/2019,0.26,,,,,,,,,5/30/2019,3.28,,,,,9/6/2019,0.46,10/17/2019,0.03,11/14/2019,0.02,12/9/2019,0.41,12/31/2019,0.35,2/19/2020,0.01,3/5/2020,10.28,,,,,,,,,8/13/2020,0.06,,,,
,,,,,,,6/1/2015,0.47,,,,,9/3/2015,2.64,,,,,,,,,,,,,,,,,6/17/2016,1.08,,,,,,,10/13/2016,1.97,11/18/2016,0.01,12/7/2016,0.05,,,,,,,,,,,6/9/2017,0.1,,,,,,,,,11/13/2017,0.13,12/6/2017,0.1,1/2/2018,0.05,,,3/13/2018,0.01,,,,,,,,,,,9/12/2018,0.08,,,,,,,,,,,,,,,,,5/31/2019,4.6,,,,,9/9/2019,0.43,10/18/2019,0.01,11/15/2019,0.01,12/10/2019,0.38,1/2/2020,0.15,2/20/2020,0.03,3/6/2020,11.62,,,,,,,,,8/14/2020,0.04,,,,
,,,,,,,6/2/2015,0.4,,,,,9/8/2015,2.76,,,,,,,,,,,,,,,,,,,,,,,,,10/14/2016,2.03,,,12/8/2016,0.14,,,,,,,,,,,6/12/2017,0.07,,,,,,,,,11/14/2017,0.1,12/7/2017,0.09,1/3/2018,0.04,,,3/14/2018,0.01,,,,,,,,,,,9/13/2018,0.05,,,,,,,,,,,,,,,,,6/3/2019,5.61,,,,,9/10/2019,0.44,,,,,12/11/2019,0.37,1/3/2020,0.25,2/21/2020,0.02,3/9/2020,17.9,,,,,,,,,8/18/2020,0.02,,,,
,,,,,,,6/3/2015,0.31,,,,,9/9/2015,1.68,,,,,,,,,,,,,,,,,,,,,,,,,10/17/2016,2.67,,,12/12/2016,0.03,,,,,,,,,,,6/14/2017,0.03,,,,,,,,,11/16/2017,0.03,12/8/2017,0.05,1/4/2018,0.05,,,,,,,,,,,,,,,9/17/2018,0.07,,,,,,,,,,,,,,,,,6/4/2019,3.3,,,,,9/11/2019,0.28,,,,,12/12/2019,0.22,1/6/2020,0.18,,,3/10/2020,15.01,,,,,,,,,8/20/2020,0.02,,,,
,,,,,,,6/4/2015,0.46,,,,,9/10/2015,2.45,,,,,,,,,,,,,,,,,,,,,,,,,10/19/2016,1.9,,,12/13/2016,0.02,,,,,,,,,,,,,,,,,,,,,,,12/14/2017,0.01,1/5/2018,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/5/2019,2.67,,,,,9/12/2019,0.14,,,,,12/13/2019,0.08,1/7/2020,0.15,,,3/12/2020,28.3,,,,,,,,,,,,,,
,,,,,,,6/5/2015,0.41,,,,,9/11/2015,2.3,,,,,,,,,,,,,,,,,,,,,,,,,10/20/2016,1.95,,,12/14/2016,0.02,,,,,,,,,,,,,,,,,,,,,,,,,1/9/2018,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/6/2019,2.43,,,,,9/13/2019,0.16,,,,,12/16/2019,0.04,1/8/2020,0.06,,,3/13/2020,27.89,,,,,,,,,,,,,,
,,,,,,,6/9/2015,0.52,,,,,9/14/2015,2.35,,,,,,,,,,,,,,,,,,,,,,,,,10/21/2016,1.47,,,12/15/2016,0.08,,,,,,,,,,,,,,,,,,,,,,,,,1/10/2018,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/7/2019,1.16,,,,,9/16/2019,0.45,,,,,12/17/2019,0.02,1/9/2020,0.03,,,3/16/2020,34.45,,,,,,,,,,,,,,
,,,,,,,6/10/2015,0.21,,,,,9/15/2015,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/16/2016,0.01,,,,,,,,,,,,,,,,,,,,,,,,,1/11/2018,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/10/2019,0.57,,,,,9/17/2019,0.23,,,,,12/19/2019,0.01,1/10/2020,0.03,,,3/17/2020,38.29,,,,,,,,,,,,,,
,,,,,,,6/11/2015,0.16,,,,,9/16/2015,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/12/2018,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/11/2019,0.58,,,,,9/18/2019,0.12,,,,,,,1/13/2020,0.01,,,3/20/2020,35.91,,,,,,,,,,,,,,
,,,,,,,6/12/2015,0.18,,,,,9/17/2015,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/16/2018,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/12/2019,0.54,,,,,9/19/2019,0.04,,,,,,,1/14/2020,0.01,,,,,,,,,,,,,,,,,,
,,,,,,,6/15/2015,0.22,,,,,9/18/2015,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/17/2018,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/13/2019,0.36,,,,,9/20/2019,0.03,,,,,,,1/15/2020,0.01,,,,,,,,,,,,,,,,,,
,,,,,,,6/16/2015,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/19/2018,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/14/2019,0.18,,,,,,,,,,,,,1/16/2020,0.02,,,,,,,,,,,,,,,,,,
,,,,,,,6/17/2015,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/17/2019,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/18/2019,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/19/2019,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/20/2019,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
