,XLF 3/20/15 C20,,XLF 4/17/15 C18,,XLF 5/15/15 C19,,XLF 6/19/15 C19,,XLF 7/17/15 C19,,XLF 8/21/15 C20,,XLF 9/18/15 C20,,XLF 10/16/15 C20,,XLF 11/20/15 C18,,XLF 12/18/15 C18,,XLF 1/15/16 C19,,XLF 2/19/16 C20,,XLF 3/18/16 C18,,XLF 4/15/16 C17,,XLF 5/20/16 C17,,XLF 6/17/16 C18,,XLF 7/15/16 C19,,XLF 8/19/16 C19,,XLF 9/16/16 C18,,XLF 10/21/16 C19,,XLF 11/18/16 C19,,XLF 12/16/16 C19,,XLF 1/20/17 C19,,XLF 2/17/17 C22,,XLF 3/17/17 C23,,XLF 4/21/17 C23,,XLF 5/19/17 C25,,XLF 6/16/17 C23,,XLF 7/21/17 C23,,XLF 8/18/17 C23,,XLF 9/15/17 C25,,XLF 10/20/17 C25,,XLF 11/17/17 C24,,XLF 12/15/17 C26,,XLF 1/19/18 C26,,XLF 2/16/18 C27,,XLF 3/16/18 C27,,XLF 4/20/18 C30,,XLF 5/18/18 C28,,XLF 6/15/18 C26,,XLF 7/20/18 C27,,XLF 8/17/18 C27,,XLF 9/21/18 C26,,XLF 10/19/18 C27,,XLF 11/16/18 C28,,XLF 12/21/18 C27,,XLF 1/18/19 C26,,XLF 2/15/19 C27,,XLF 3/15/19 C24,,XLF 4/18/19 C26,,XLF 5/17/19 C26,,XLF 6/21/19 C26,,XLF 7/19/19 C27,,XLF 8/16/19 C26,,XLF 9/20/19 C27,,XLF 10/18/19 C27,,XLF 11/15/19 C26,,XLF 12/20/19 C27,,XLF 1/17/20 C29,,XLF 2/21/20 C29,,XLF 3/20/20 C31,,XLF 4/17/20 C30,,XLF 5/15/20 C27,,XLF 6/19/20 C19,,XLF 7/17/20 C22,,XLF 8/21/20 C23,,XLF 9/18/20 C22,,XLF 10/16/20 C24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/13/2017,2.04,3/14/2017,1.8,4/11/2017,0.51,5/10/2017,0.01,6/12/2017,1.33,,,,,,,10/9/2017,1.25,11/9/2017,2.13,12/8/2017,1.98,1/11/2018,3,,,3/13/2018,2.28,,,5/15/2018,0.26,6/8/2018,2.15,7/10/2018,0.43,8/9/2018,1.36,9/10/2018,2.33,10/9/2018,1.24,11/12/2018,0.02,12/10/2018,0.02,1/14/2019,0.01,2/13/2019,0.01,3/14/2019,2.61,4/11/2019,0.79,5/9/2019,1.39,6/10/2019,1.45,,,,,9/9/2019,1.03,,,,,12/11/2019,3.26,1/13/2020,1.86,,,3/12/2020,0.02,,,5/15/2020,0.01,,,7/10/2020,1.7,8/18/2020,1.65,9/9/2020,2.99,10/9/2020,1.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/14/2017,2.36,3/15/2017,1.67,4/12/2017,0.41,5/11/2017,0.01,6/13/2017,1.44,,,,,,,10/10/2017,1.39,11/10/2017,2.11,12/11/2017,1.93,1/12/2018,3.2,,,3/14/2018,1.93,,,5/16/2018,0.3,6/11/2018,2.12,7/11/2018,0.36,8/10/2018,1.04,9/11/2018,2.34,10/10/2018,0.62,11/13/2018,0.01,12/11/2018,0.02,1/15/2019,0.01,2/14/2019,0.01,3/15/2019,2.56,4/12/2019,1.17,5/10/2019,1.41,6/11/2019,1.39,,,,,9/10/2019,1.05,,,,,12/12/2019,3.85,1/14/2020,1.84,,,3/16/2020,0.01,,,,,,,7/13/2020,1.65,8/19/2020,1.62,9/10/2020,2.57,10/12/2020,1.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/15/2017,2.51,3/16/2017,1.82,4/13/2017,0.2,5/12/2017,0.01,6/14/2017,1.51,,,,,,,10/11/2017,1.36,11/13/2017,2.17,12/12/2017,2.27,1/16/2018,3.15,,,3/15/2018,1.98,,,5/17/2018,0.23,6/12/2018,1.9,7/12/2018,0.37,8/13/2018,0.78,9/12/2018,2.13,10/11/2018,0.3,11/14/2018,0.02,12/12/2018,0.02,1/16/2019,0.03,,,,,4/15/2019,1,5/13/2019,0.77,6/12/2019,1.17,,,,,9/11/2019,1.2,,,,,12/13/2019,3.7,1/15/2020,1.65,,,3/17/2020,0.01,,,,,,,7/14/2020,1.75,8/20/2020,1.46,9/11/2020,2.77,10/13/2020,1.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/16/2017,2.4,3/17/2017,1.45,4/17/2017,0.38,5/15/2017,0.01,6/15/2017,1.4,,,,,,,10/12/2017,1.13,11/14/2017,2.1,12/13/2017,2.07,1/17/2018,3.37,,,3/16/2018,2,,,5/18/2018,0.01,6/13/2018,1.85,7/13/2018,0.21,8/14/2018,0.95,9/13/2018,2.04,10/12/2018,0.16,11/15/2018,0.01,12/13/2018,0.01,1/17/2019,0.02,,,,,4/16/2019,1.32,5/14/2019,0.97,6/13/2019,1.17,,,,,9/12/2019,1.34,,,,,12/16/2019,3.84,1/16/2020,1.94,,,3/18/2020,0.01,,,,,,,7/15/2020,2.15,8/21/2020,1.31,9/14/2020,3.05,10/14/2020,0.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/17/2017,2.45,,,4/18/2017,0.25,5/16/2017,0.01,,,,,,,,,10/13/2017,1.13,11/15/2017,2.23,12/14/2017,1.75,1/18/2018,3.32,,,,,,,,,6/14/2018,1.63,7/16/2018,0.53,8/15/2018,0.77,9/14/2018,2.23,10/15/2018,0.08,11/16/2018,0.01,12/14/2018,0.01,1/18/2019,0.02,,,,,4/17/2019,1.43,5/15/2019,0.81,6/14/2019,1.3,,,,,9/13/2019,1.54,,,,,12/17/2019,3.98,1/17/2020,2,,,3/19/2020,0.01,,,,,,,7/16/2020,2.15,,,9/15/2020,2.73,10/15/2020,0.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/19/2017,0.13,5/17/2017,0.01,,,,,,,,,10/16/2017,1.3,11/16/2017,2.19,12/15/2017,1.79,1/19/2018,3.52,,,,,,,,,6/15/2018,1.46,7/17/2018,0.55,8/16/2018,1.12,9/17/2018,2.13,10/16/2018,0.11,,,12/17/2018,0.01,,,,,,,4/18/2019,1.33,5/16/2019,1.15,6/17/2019,1.01,,,,,9/16/2019,1.36,,,,,12/18/2019,3.87,,,,,3/20/2020,0.01,,,,,,,7/17/2020,1.95,,,9/16/2020,3,10/16/2020,0.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/20/2017,0.43,,,,,,,,,,,10/17/2017,1.15,11/17/2017,2.15,,,,,,,,,,,,,,,7/18/2018,0.92,8/17/2018,1.16,9/18/2018,2.27,10/17/2018,0.2,,,12/18/2018,0.01,,,,,,,,,5/17/2019,0.88,6/18/2019,1.35,,,,,9/17/2019,1.35,,,,,12/19/2019,3.85,,,,,,,,,,,,,,,,,9/17/2020,2.7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/21/2017,0.22,,,,,,,,,,,10/18/2017,1.33,,,,,,,,,,,,,,,,,7/19/2018,0.53,,,9/19/2018,2.74,10/18/2018,0.03,,,12/19/2018,0.01,,,,,,,,,,,6/19/2019,1.3,,,,,9/18/2019,1.52,,,,,12/20/2019,3.7,,,,,,,,,,,,,,,,,9/18/2020,2.76,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/19/2017,1.3,,,,,,,,,,,,,,,,,7/20/2018,0.57,,,9/20/2018,3.03,10/19/2018,0.01,,,12/20/2018,0.01,,,,,,,,,,,6/20/2019,1.47,,,,,9/19/2019,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/20/2017,1.66,,,,,,,,,,,,,,,,,,,,,9/21/2018,2.74,,,,,12/21/2018,0.01,,,,,,,,,,,6/21/2019,1.33,,,,,9/20/2019,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,
