,XLV 3/20/15 P68,,XLV 4/17/15 P69,,XLV 5/15/15 P72,,XLV 6/19/15 P71,,XLV 7/17/15 P72,,XLV 8/21/15 P75,,XLV 9/18/15 P75,,XLV 10/16/15 P76,,XLV 11/20/15 P68,,XLV 12/18/15 P66,,XLV 1/15/16 P72,,XLV 2/19/16 P72,,XLV 3/18/16 P70,,XLV 4/15/16 P66,,XLV 5/20/16 P67,,XLV 6/17/16 P68,,XLV 7/15/16 P70,,XLV 8/19/16 P71,,XLV 9/16/16 P72,,XLV 10/21/16 P75,,XLV 11/18/16 P72,,XLV 12/16/16 P72,,XLV 1/20/17 P67,,XLV 2/17/17 P68,,XLV 3/17/17 P69,,XLV 4/21/17 P71,,XLV 5/19/17 P75,,XLV 6/16/17 P74,,XLV 7/21/17 P75,,XLV 8/18/17 P76,,XLV 9/15/17 P79,,XLV 10/20/17 P79,,XLV 11/17/17 P81,,XLV 12/15/17 P82,,XLV 1/19/18 P81,,XLV 2/16/18 P83,,XLV 3/16/18 P83,,XLV 4/20/18 P88,,XLV 5/18/18 P82,,XLV 6/15/18 P79,,XLV 7/20/18 P82,,XLV 8/17/18 P83,,XLV 9/21/18 P83,,XLV 10/19/18 P88,,XLV 11/16/18 P92,,XLV 12/21/18 P95,,XLV 1/18/19 P89,,XLV 2/15/19 P95,,XLV 3/15/19 P85,,XLV 4/18/19 P90,,XLV 5/17/19 P92,,XLV 6/21/19 P91,,XLV 7/19/19 P89,,XLV 8/16/19 P87,,XLV 9/20/19 P93,,XLV 10/18/19 P91,,XLV 11/15/19 P90,,XLV 12/20/19 P89,,XLV 1/17/20 P94,,XLV 2/21/20 P99,,XLV 3/20/20 P102,,XLV 4/17/20 P100,,XLV 5/15/20 P96,,XLV 6/19/20 P85,,XLV 7/17/20 P97,,XLV 8/21/20 P101,,XLV 9/18/20 P100,,XLV 10/16/20 P106,
,2/17/2015,0.41,4/13/2015,0.02,5/4/2015,0.37,5/15/2015,0.37,7/2/2015,0.29,8/4/2015,0.32,8/14/2015,1.45,,,11/2/2015,0.17,11/17/2015,0.42,1/14/2016,4.2,,,2/26/2016,3.07,4/4/2016,0.05,5/2/2016,0.3,5/12/2016,1.1,7/6/2016,0.12,8/12/2016,0.02,8/15/2016,0.32,,,11/4/2016,5.43,11/16/2016,2.54,12/12/2016,0.65,1/31/2017,0.15,2/14/2017,0.16,3/31/2017,0.06,4/28/2017,0.52,5/15/2017,0.41,,,,,8/21/2017,1.35,10/2/2017,0.08,10/27/2017,0.63,11/15/2017,1.84,12/13/2017,0.32,2/5/2018,1.42,2/13/2018,1.93,,,4/30/2018,0.76,5/14/2018,0.3,6/29/2018,0.57,7/13/2018,0.28,8/16/2018,0.14,9/11/2018,0.41,10/12/2018,2.46,12/3/2018,1.2,12/18/2018,3.93,,,2/12/2019,0.26,3/14/2019,0.82,4/16/2019,3.11,5/13/2019,4.5,6/28/2019,0.35,8/8/2019,0.15,8/19/2019,2.58,10/4/2019,1.5,11/1/2019,0.04,11/14/2019,0.26,,,2/14/2020,0.04,2/20/2020,1.13,3/18/2020,18.33,4/28/2020,0.94,,,6/15/2020,3.2,8/6/2020,0.3,8/14/2020,0.78,9/21/2020,3.93
,2/18/2015,0.37,,,5/5/2015,0.65,5/18/2015,0.36,7/6/2015,0.28,8/5/2015,0.25,8/17/2015,0.99,,,11/6/2015,0.29,11/18/2015,0.24,,,,,2/29/2016,3.09,4/5/2016,0.12,5/3/2016,0.34,5/13/2016,1.08,7/8/2016,0.05,8/15/2016,0.04,8/16/2016,0.46,,,11/7/2016,3.07,11/17/2016,2.3,12/13/2016,0.47,2/1/2017,0.1,2/15/2017,0.11,4/3/2017,0.05,5/1/2017,0.42,5/16/2017,0.47,,,,,8/22/2017,0.85,10/4/2017,0.04,10/30/2017,0.88,11/16/2017,1.31,12/14/2017,0.5,2/6/2018,1.08,2/14/2018,1.41,,,5/1/2018,1.09,5/15/2018,0.48,7/2/2018,0.48,7/16/2018,0.32,8/17/2018,0.14,9/12/2018,0.36,10/15/2018,2.17,12/4/2018,2.59,12/19/2018,4.5,,,2/13/2019,0.2,3/15/2019,0.65,4/17/2019,5.12,5/15/2019,3.45,7/1/2019,0.15,8/9/2019,0.05,8/21/2019,2.4,10/7/2019,1.45,11/4/2019,0.03,11/15/2019,0.07,,,2/18/2020,0.04,2/21/2020,1.2,3/19/2020,17.55,4/29/2020,0.65,,,6/16/2020,2.13,8/7/2020,0.31,8/17/2020,0.54,9/22/2020,4.42
,2/19/2015,0.3,,,5/6/2015,0.88,5/19/2015,0.24,7/7/2015,0.21,8/6/2015,0.76,8/18/2015,1.02,,,11/9/2015,0.21,11/19/2015,0.34,,,,,3/1/2016,2.93,4/6/2016,0.07,5/4/2016,0.4,5/16/2016,0.67,7/11/2016,0.03,8/16/2016,0.06,8/17/2016,0.42,,,11/9/2016,1.88,11/18/2016,2.81,12/14/2016,0.55,2/2/2017,0.09,2/16/2017,0.14,4/4/2017,0.06,5/2/2017,0.35,5/17/2017,0.88,,,,,8/23/2017,1.02,10/5/2017,0.04,10/31/2017,0.84,11/17/2017,1.45,12/15/2017,0.3,2/7/2018,0.71,2/15/2018,1.02,,,5/2/2018,1.17,5/16/2018,0.36,7/5/2018,0.26,7/17/2018,0.23,8/20/2018,0.13,9/13/2018,0.22,10/16/2018,1.29,12/6/2018,3.8,12/20/2018,5.97,,,2/14/2019,0.19,3/18/2019,0.67,4/18/2019,6.05,5/16/2019,3,7/2/2019,0.09,8/13/2019,0.02,8/22/2019,2.99,10/8/2019,2.64,11/5/2019,0.09,11/18/2019,0.12,,,2/19/2020,0.01,2/24/2020,2.58,3/20/2020,20.82,4/30/2020,0.93,,,6/17/2020,1.97,8/10/2020,0.23,8/18/2020,0.51,9/24/2020,4.87
,2/20/2015,0.21,,,5/7/2015,0.58,5/20/2015,0.21,7/8/2015,0.28,8/7/2015,0.81,8/19/2015,1.18,,,11/10/2015,0.15,11/20/2015,0.24,,,,,3/2/2016,2.6,4/7/2016,0.08,5/5/2016,0.25,5/17/2016,0.99,7/13/2016,0.03,8/17/2016,0.02,8/18/2016,0.35,,,11/10/2016,0.96,11/21/2016,2.57,12/15/2016,0.44,2/3/2017,0.04,2/17/2017,0.14,4/5/2017,0.04,5/3/2017,0.41,5/18/2017,0.76,,,,,8/24/2017,0.96,10/6/2017,0.02,11/1/2017,0.71,11/20/2017,1.6,12/18/2017,0.28,2/8/2018,2.45,2/16/2018,0.84,,,5/3/2018,2.18,5/17/2018,0.34,7/6/2018,0.08,7/18/2018,0.2,8/21/2018,0.1,9/14/2018,0.2,10/17/2018,1.13,12/7/2018,4.9,12/21/2018,6.3,,,2/15/2019,0.11,3/19/2019,0.44,4/22/2019,6.05,5/17/2019,2.91,7/3/2019,0.06,8/14/2019,0.05,8/23/2019,4.15,10/9/2019,2.68,11/6/2019,0.05,11/19/2019,0.07,,,2/21/2020,0.01,2/25/2020,5.23,3/23/2020,24.53,5/1/2020,1.62,,,6/18/2020,2.05,8/11/2020,0.29,8/19/2020,0.44,9/29/2020,2.92
,2/23/2015,0.15,,,5/8/2015,0.25,5/21/2015,0.19,7/9/2015,0.19,8/10/2015,0.43,8/20/2015,1.97,,,11/11/2015,0.12,11/23/2015,0.21,,,,,3/3/2016,2.71,4/8/2016,0.06,5/6/2016,0.44,5/18/2016,0.87,,,8/19/2016,0.02,8/19/2016,0.3,,,11/11/2016,1.87,11/22/2016,3.5,12/16/2016,0.4,2/6/2017,0.04,2/21/2017,0.09,4/6/2017,0.05,5/4/2017,0.31,5/19/2017,0.69,,,,,8/25/2017,0.87,10/9/2017,0.05,11/2/2017,0.75,11/21/2017,1.12,12/19/2017,0.27,2/9/2018,1.48,2/20/2018,1.03,,,5/4/2018,1.4,5/18/2018,0.23,7/9/2018,0.03,7/19/2018,0.24,8/22/2018,0.09,9/17/2018,0.2,10/18/2018,1.65,12/10/2018,4.4,12/24/2018,8.65,,,2/19/2019,0.09,3/20/2019,0.57,4/23/2019,4.8,5/20/2019,3.3,7/5/2019,0.08,8/15/2019,0.09,8/26/2019,4.05,10/10/2019,1.76,11/7/2019,0.04,11/20/2019,0.11,,,,,2/26/2020,5.31,3/24/2020,20.3,5/4/2020,1.29,,,6/19/2020,1.62,8/12/2020,0.14,8/20/2020,0.54,9/30/2020,1.91
,2/24/2015,0.15,,,5/11/2015,0.12,5/22/2015,0.19,7/10/2015,0.08,8/11/2015,0.67,8/21/2015,3.55,,,11/12/2015,0.22,11/24/2015,0.22,,,,,3/4/2016,2.74,4/11/2016,0.04,5/9/2016,0.16,5/19/2016,0.99,,,,,8/22/2016,0.29,,,11/14/2016,1.92,11/23/2016,3.26,12/19/2016,0.41,2/7/2017,0.03,2/22/2017,0.09,4/7/2017,0.05,5/5/2017,0.31,5/22/2017,0.52,,,,,8/28/2017,0.65,10/10/2017,0.04,11/3/2017,0.49,11/22/2017,1.01,12/20/2017,0.3,2/12/2018,1.01,2/21/2018,1,,,5/7/2018,1.33,5/21/2018,0.18,7/10/2018,0.01,7/20/2018,0.26,8/23/2018,0.09,9/18/2018,0.19,10/19/2018,1.82,12/11/2018,4.14,12/26/2018,5.47,,,2/20/2019,0.11,3/21/2019,0.54,4/24/2019,4.75,5/21/2019,2.57,7/8/2019,0.09,,,8/27/2019,4.1,10/11/2019,1.19,11/8/2019,0.03,11/22/2019,0.01,,,,,2/27/2020,6.94,3/25/2020,16.51,5/5/2020,0.55,,,6/22/2020,1.5,8/13/2020,0.13,8/21/2020,0.45,10/1/2020,1.79
,2/26/2015,0.13,,,5/12/2015,0.17,5/26/2015,0.28,7/13/2015,0.02,8/12/2015,0.72,8/24/2015,6.05,,,11/13/2015,0.3,11/25/2015,0.12,,,,,3/7/2016,2.59,4/12/2016,0.02,5/10/2016,0.08,5/20/2016,0.71,,,,,8/23/2016,0.23,,,11/15/2016,1.72,11/25/2016,2.89,12/20/2016,0.4,2/8/2017,0.03,2/23/2017,0.08,4/10/2017,0.03,5/8/2017,0.32,5/23/2017,0.4,,,,,8/29/2017,0.6,10/13/2017,0.04,11/6/2017,0.48,11/24/2017,1.13,12/21/2017,0.29,2/13/2018,0.76,2/22/2018,1,,,5/8/2018,2.13,5/22/2018,0.21,7/11/2018,0.02,7/23/2018,0.22,8/27/2018,0.06,9/19/2018,0.18,10/22/2018,2.15,12/12/2018,3.15,12/27/2018,4.87,,,2/21/2019,0.13,3/22/2019,1.14,4/25/2019,4.3,5/22/2019,2.05,7/9/2019,0.06,,,8/29/2019,3.05,10/14/2019,1.22,11/11/2019,0.01,11/25/2019,0.03,,,,,2/28/2020,11.55,3/26/2020,14.69,5/6/2020,0.68,,,6/23/2020,1.28,8/14/2020,0.13,8/24/2020,0.48,10/2/2020,2.37
,2/27/2015,0.13,,,5/13/2015,0.11,5/27/2015,0.18,7/15/2015,0.01,8/13/2015,0.55,8/25/2015,5.52,,,11/16/2015,0.15,11/30/2015,0.1,,,,,3/8/2016,2.77,4/13/2016,0.01,5/11/2016,0.06,5/23/2016,0.63,,,,,8/24/2016,0.58,,,11/16/2016,1.93,11/28/2016,3.41,12/21/2016,0.42,2/9/2017,0.02,2/24/2017,0.09,4/11/2017,0.05,5/9/2017,0.29,5/24/2017,0.32,,,,,8/30/2017,0.4,10/16/2017,0.01,11/7/2017,0.44,11/27/2017,0.95,12/22/2017,0.34,2/14/2018,0.24,2/23/2018,0.55,,,5/9/2018,1.32,5/23/2018,0.18,7/13/2018,0.03,7/24/2018,0.14,8/28/2018,0.11,9/20/2018,0.12,10/23/2018,2.5,12/14/2018,6.02,12/28/2018,4.35,,,2/22/2019,0.08,3/25/2019,1.37,4/26/2019,3.2,5/23/2019,2.48,7/10/2019,0.05,,,9/4/2019,3.3,10/15/2019,0.25,11/12/2019,0.01,11/26/2019,0.03,,,,,3/2/2020,5.63,3/27/2020,14.35,5/7/2020,0.52,,,6/24/2020,2.25,8/17/2020,0.03,8/25/2020,0.34,10/5/2020,1.51
,3/2/2015,0.1,,,5/14/2015,0.02,5/28/2015,0.19,7/17/2015,0.06,8/14/2015,0.42,8/26/2015,5.3,,,11/20/2015,0.02,12/1/2015,0.1,,,,,3/9/2016,3.15,4/14/2016,0.01,5/12/2016,0.11,5/24/2016,0.4,,,,,8/25/2016,0.79,,,11/17/2016,1.6,11/29/2016,3,12/22/2016,0.43,2/10/2017,0.01,2/27/2017,0.05,4/12/2017,0.03,5/10/2017,0.34,5/25/2017,0.2,,,,,8/31/2017,0.15,,,11/8/2017,0.28,11/28/2017,0.62,12/26/2017,0.31,2/15/2018,0.05,2/26/2018,0.33,,,5/10/2018,0.91,5/24/2018,0.16,7/16/2018,0.01,7/25/2018,0.08,8/29/2018,0.04,9/21/2018,0.11,10/24/2018,5.07,12/17/2018,7.95,12/31/2018,3.62,,,2/25/2019,0.08,3/26/2019,0.95,4/29/2019,3.5,5/24/2019,2.25,7/11/2019,0.03,,,9/6/2019,2.12,10/16/2019,0.15,11/13/2019,0.01,11/29/2019,0.02,,,,,3/3/2020,7.5,3/30/2020,12.08,5/8/2020,0.28,,,6/25/2020,1.99,8/18/2020,0.05,8/26/2020,0.34,10/6/2020,1.33
,3/3/2015,0.1,,,5/15/2015,0.02,5/29/2015,0.2,,,8/17/2015,0.13,8/27/2015,4.55,,,,,12/2/2015,0.1,,,,,3/10/2016,3.4,4/15/2016,0.02,5/13/2016,0.1,5/25/2016,0.25,,,,,8/26/2016,0.69,,,11/18/2016,2.32,11/30/2016,3.55,12/23/2016,0.3,2/14/2017,0.01,2/28/2017,0.06,4/13/2017,0.02,5/11/2017,0.29,5/26/2017,0.22,,,,,9/1/2017,0.16,,,11/9/2017,0.41,11/29/2017,0.54,12/27/2017,0.25,2/16/2018,0.01,2/27/2018,0.43,,,5/11/2018,0.27,5/25/2018,0.17,7/17/2018,0.04,7/26/2018,0.1,8/30/2018,0.05,9/24/2018,0.1,10/25/2018,4.12,12/18/2018,9.37,1/2/2019,4.17,,,2/26/2019,0.06,3/27/2019,1.12,5/1/2019,2.92,5/28/2019,2.58,7/12/2019,0.05,,,9/9/2019,2,10/17/2019,0.04,11/14/2019,0.01,12/2/2019,0.01,,,,,3/4/2020,3.7,4/2/2020,13.39,5/11/2020,0.08,,,6/26/2020,2.34,8/19/2020,0.04,8/27/2020,0.29,10/7/2020,0.95
,3/4/2015,0.15,,,,,6/1/2015,0.16,,,8/18/2015,0.12,8/28/2015,3.68,,,,,12/3/2015,0.21,,,,,3/11/2016,1.9,,,5/16/2016,0.03,5/26/2016,0.25,,,,,8/29/2016,0.47,,,,,12/1/2016,4.07,12/27/2016,0.25,2/15/2017,0.03,3/1/2017,0.04,4/17/2017,0.03,5/12/2017,0.27,5/30/2017,0.22,,,,,9/5/2017,0.23,,,11/10/2017,0.52,11/30/2017,0.43,12/28/2017,0.25,,,2/28/2018,0.69,,,5/14/2018,0.15,5/30/2018,0.13,7/19/2018,0.01,7/30/2018,0.11,8/31/2018,0.05,9/25/2018,0.1,10/26/2018,4.74,12/19/2018,8.65,1/3/2019,5.13,,,2/27/2019,0.06,3/28/2019,1.03,5/2/2019,3.42,5/29/2019,4,7/15/2019,0.02,,,9/10/2019,3.85,10/18/2019,0.02,,,12/3/2019,0.05,,,,,3/5/2020,5.64,4/14/2020,3.03,5/12/2020,0.02,,,6/29/2020,1.81,,,8/28/2020,0.31,10/8/2020,0.63
,3/6/2015,0.16,,,,,6/2/2015,0.19,,,8/19/2015,0.1,8/31/2015,4.6,,,,,12/4/2015,0.06,,,,,3/14/2016,1.76,,,5/17/2016,0.03,5/27/2016,0.15,,,,,8/30/2016,0.62,,,,,12/2/2016,3.88,12/28/2016,0.33,2/17/2017,0.03,3/2/2017,0.03,4/18/2017,0.03,5/15/2017,0.11,5/31/2017,0.19,,,,,9/6/2017,0.11,,,11/13/2017,0.27,12/1/2017,0.46,12/29/2017,0.3,,,3/1/2018,1.41,,,5/15/2018,0.38,5/31/2018,0.19,,,7/31/2018,0.08,9/7/2018,0.07,9/26/2018,0.07,10/29/2018,4.4,12/20/2018,10.7,1/4/2019,3.4,,,2/28/2019,0.06,3/29/2019,0.52,5/3/2019,2.07,5/30/2019,3.65,7/16/2019,0.02,,,9/11/2019,2.03,,,,,12/6/2019,0.02,,,,,3/6/2020,6.62,4/16/2020,2.68,5/13/2020,0.27,,,6/30/2020,0.9,,,8/31/2020,0.2,10/9/2020,0.27
,3/9/2015,0.12,,,,,6/3/2015,0.17,,,8/20/2015,0.73,9/1/2015,5.8,,,,,12/7/2015,0.09,,,,,3/15/2016,3,,,5/19/2016,0.03,5/31/2016,0.14,,,,,8/31/2016,0.64,,,,,12/5/2016,4.11,12/29/2016,0.31,,,3/3/2017,0.02,4/19/2017,0.01,5/16/2017,0.14,6/1/2017,0.08,,,,,9/8/2017,0.05,,,11/14/2017,0.45,12/4/2017,0.43,1/2/2018,0.17,,,3/2/2018,1.01,,,5/16/2018,0.21,6/1/2018,0.09,,,8/2/2018,0.03,9/11/2018,0.04,9/27/2018,0.09,10/30/2018,4.21,12/21/2018,12.05,1/7/2019,2.86,,,3/1/2019,0.03,4/1/2019,0.43,5/6/2019,1.56,6/3/2019,3.95,7/18/2019,0.03,,,9/12/2019,1.6,,,,,12/9/2019,0.01,,,,,3/9/2020,10,4/17/2020,0.07,5/14/2020,0.06,,,7/1/2020,0.61,,,9/1/2020,0.31,10/12/2020,0.12
,3/11/2015,0.1,,,,,6/4/2015,0.21,,,8/21/2015,2.9,9/2/2015,5.35,,,,,12/8/2015,0.08,,,,,3/16/2016,3.05,,,,,6/1/2016,0.11,,,,,9/1/2016,0.83,,,,,12/6/2016,3.88,12/30/2016,0.36,,,3/6/2017,0.04,4/20/2017,0.01,5/17/2017,0.48,6/2/2017,0.06,,,,,9/11/2017,0.03,,,11/15/2017,0.48,12/6/2017,0.84,1/3/2018,0.1,,,3/5/2018,0.55,,,5/18/2018,0.01,6/5/2018,0.04,,,8/3/2018,0.02,9/13/2018,0.01,9/28/2018,0.07,10/31/2018,3.31,,,1/8/2019,2.4,,,3/4/2019,0.06,4/2/2019,0.34,5/7/2019,3.41,6/4/2019,2.63,,,,,9/13/2019,1.61,,,,,12/10/2019,0.01,,,,,3/10/2020,7.15,,,5/15/2020,0.03,,,7/2/2020,0.43,,,9/2/2020,0.15,10/13/2020,0.15
,3/12/2015,0.05,,,,,6/5/2015,0.18,,,,,9/3/2015,4.75,,,,,12/11/2015,0.15,,,,,3/17/2016,4.21,,,,,6/2/2016,0.08,,,,,9/2/2016,0.55,,,,,12/7/2016,3.82,1/3/2017,0.18,,,3/7/2017,0.01,,,5/18/2017,0.28,6/5/2017,0.05,,,,,9/13/2017,0.01,,,11/16/2017,0.06,12/7/2017,0.75,1/4/2018,0.12,,,3/6/2018,0.67,,,,,6/6/2018,0.03,,,8/6/2018,0.01,9/14/2018,0.01,10/1/2018,0.07,11/1/2018,2.71,,,1/9/2019,1.94,,,3/5/2019,0.05,4/3/2019,0.35,5/8/2019,2.76,6/5/2019,2.1,,,,,9/16/2019,2.13,,,,,12/13/2019,0.02,,,,,3/11/2020,11.05,,,,,,,7/6/2020,0.27,,,9/3/2020,0.48,10/14/2020,0.22
,3/13/2015,0.05,,,,,6/8/2015,0.17,,,,,9/4/2015,6.6,,,,,12/14/2015,0.11,,,,,3/18/2016,3,,,,,6/3/2016,0.05,,,,,9/6/2016,0.31,,,,,12/8/2016,4.32,1/4/2017,0.11,,,3/8/2017,0.03,,,5/19/2017,0.03,6/6/2017,0.03,,,,,9/14/2017,0.02,,,11/17/2017,0.01,12/8/2017,0.26,1/5/2018,0.11,,,3/7/2018,0.57,,,,,6/7/2018,0.02,,,8/7/2018,0.02,,,10/2/2018,0.06,11/2/2018,2.98,,,1/10/2019,2.28,,,3/6/2019,0.07,4/4/2019,0.49,5/9/2019,3.15,6/6/2019,1.67,,,,,9/17/2019,1.94,,,,,12/16/2019,0.01,,,,,3/12/2020,16.09,,,,,,,7/8/2020,0.35,,,9/4/2020,0.46,10/15/2020,0.19
,3/16/2015,0.02,,,,,6/9/2015,0.13,,,,,9/8/2015,4.96,,,,,12/15/2015,0.03,,,,,,,,,,,6/6/2016,0.06,,,,,9/7/2016,0.33,,,,,12/9/2016,3.47,1/5/2017,0.08,,,3/9/2017,0.01,,,,,6/7/2017,0.06,,,,,9/15/2017,0.01,,,,,12/11/2017,0.14,1/8/2018,0.09,,,3/8/2018,0.23,,,,,6/8/2018,0.01,,,8/8/2018,0.03,,,10/3/2018,0.05,11/5/2018,2.44,,,1/11/2019,1.68,,,3/7/2019,0.09,4/5/2019,0.25,5/10/2019,3.16,6/7/2019,1.07,,,,,9/19/2019,1.4,,,,,12/19/2019,0.01,,,,,3/16/2020,18.45,,,,,,,7/9/2020,0.38,,,9/8/2020,0.56,10/16/2020,0.02
,3/18/2015,0.02,,,,,6/10/2015,0.06,,,,,9/9/2015,5.26,,,,,12/16/2015,0.02,,,,,,,,,,,6/7/2016,0.05,,,,,9/8/2016,0.24,,,,,12/12/2016,3.1,1/6/2017,0.07,,,3/10/2017,0.02,,,,,6/8/2017,0.05,,,,,,,,,,,12/12/2017,0.05,1/9/2018,0.06,,,3/9/2018,0.05,,,,,6/14/2018,0.01,,,8/10/2018,0.04,,,10/4/2018,0.1,11/6/2018,2.36,,,1/14/2019,2.29,,,3/8/2019,0.09,4/8/2019,0.22,5/13/2019,4.7,6/10/2019,0.86,,,,,9/20/2019,0.9,,,,,,,,,,,3/17/2020,16.4,,,,,,,7/10/2020,0.39,,,9/9/2020,0.17,,
,3/19/2015,0.02,,,,,6/11/2015,0.03,,,,,9/10/2015,5.41,,,,,12/17/2015,0.01,,,,,,,,,,,6/8/2016,0.05,,,,,9/9/2016,0.95,,,,,12/13/2016,2.52,1/9/2017,0.04,,,3/13/2017,0.04,,,,,6/9/2017,0.02,,,,,,,,,,,12/13/2017,0.03,1/10/2018,0.05,,,3/12/2018,0.04,,,,,,,,,8/13/2018,0.03,,,10/5/2018,0.1,11/7/2018,0.49,,,1/15/2019,0.99,,,3/11/2019,0.02,4/9/2019,0.2,5/14/2019,4.14,6/11/2019,0.94,,,,,,,,,,,,,,,,,3/20/2020,23.5,,,,,,,7/13/2020,0.22,,,9/10/2020,0.36,,
,,,,,,,6/12/2015,0.04,,,,,9/11/2015,4.78,,,,,12/18/2015,0.01,,,,,,,,,,,6/9/2016,0.04,,,,,9/12/2016,0.26,,,,,12/14/2016,2.9,1/10/2017,0.02,,,3/16/2017,0.01,,,,,6/12/2017,0.04,,,,,,,,,,,12/14/2017,0.05,1/11/2018,0.03,,,3/13/2018,0.03,,,,,,,,,8/14/2018,0.01,,,10/8/2018,0.06,11/8/2018,0.43,,,1/16/2019,0.59,,,3/12/2019,0.02,4/10/2019,0.15,5/15/2019,4.76,6/12/2019,0.7,,,,,,,,,,,,,,,,,,,,,,,,,7/14/2020,0.05,,,9/11/2020,0.15,,
,,,,,,,6/15/2015,0.04,,,,,9/14/2015,4.69,,,,,,,,,,,,,,,,,6/10/2016,0.06,,,,,9/13/2016,1.02,,,,,12/15/2016,2.51,1/11/2017,2.57,,,3/17/2017,0.01,,,,,6/13/2017,0.01,,,,,,,,,,,,,1/12/2018,0.03,,,3/14/2018,0.03,,,,,,,,,8/15/2018,0.02,,,10/9/2018,0.06,11/9/2018,0.54,,,1/17/2019,0.34,,,3/13/2019,0.01,4/11/2019,0.42,5/16/2019,2.86,6/13/2019,0.77,,,,,,,,,,,,,,,,,,,,,,,,,7/15/2020,0.03,,,9/14/2020,0.04,,
,,,,,,,6/17/2015,0.02,,,,,9/15/2015,3.8,,,,,,,,,,,,,,,,,6/13/2016,0.06,,,,,9/14/2016,0.92,,,,,12/16/2016,2.35,1/12/2017,0.04,,,,,,,,,6/14/2017,0.03,,,,,,,,,,,,,1/16/2018,0.01,,,3/15/2018,0.01,,,,,,,,,8/16/2018,0.01,,,10/10/2018,0.29,11/12/2018,0.91,,,1/18/2019,0.04,,,3/14/2019,0.01,4/12/2019,0.53,5/17/2019,3.25,6/14/2019,0.63,,,,,,,,,,,,,,,,,,,,,,,,,7/16/2020,0.13,,,9/15/2020,0.01,,
,,,,,,,6/18/2015,0.02,,,,,9/16/2015,3.55,,,,,,,,,,,,,,,,,6/14/2016,0.07,,,,,9/15/2016,0.24,,,,,,,1/13/2017,0.02,,,,,,,,,6/15/2017,0.02,,,,,,,,,,,,,1/17/2018,0.01,,,3/16/2018,0.01,,,,,,,,,8/17/2018,0.01,,,10/11/2018,0.75,11/13/2018,1.27,,,,,,,,,4/15/2019,0.43,,,6/17/2019,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/16/2020,0.08,,
,,,,,,,,,,,,,9/17/2015,2.1,,,,,,,,,,,,,,,,,6/15/2016,0.04,,,,,9/16/2016,0.01,,,,,,,1/17/2017,0.31,,,,,,,,,,,,,,,,,,,,,,,1/19/2018,0.01,,,,,,,,,,,,,,,,,10/12/2018,0.51,11/14/2018,1.88,,,,,,,,,4/16/2019,1.37,,,6/18/2019,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/17/2020,0.03,,
,,,,,,,,,,,,,9/18/2015,4.04,,,,,,,,,,,,,,,,,6/16/2016,0.01,,,,,,,,,,,,,1/18/2017,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/15/2018,0.17,11/15/2018,1.66,,,,,,,,,4/17/2019,4.25,,,6/19/2019,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/17/2016,0.01,,,,,,,,,,,,,1/19/2017,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2018,0.02,11/16/2018,0.01,,,,,,,,,4/18/2019,4.14,,,6/20/2019,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/20/2017,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/17/2018,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/18/2018,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/19/2018,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
